t_s,wx,wy,x_cm,y_cm
0.096,500,51,143.05,14.42
0.205,500,51,143.05,14.42
0.32,500,51,143.04,14.42
0.439,500,51,143.03,14.42
0.524,500,51,143.03,14.41
0.667,500,51,143.07,14.42
0.756,500,51,143.09,14.42
0.861,500,51,143.11,14.42
1.007,500,51,143.12,14.42
1.091,500,51,143.12,14.42
1.311,500,51,143.16,14.43
1.39,500,51,143.18,14.43
1.503,500,51,143.2,14.43
1.588,500,51,143.21,14.43
1.671,500,51,143.23,14.43
1.755,500,51,143.23,14.43
1.86,500,51,143.24,14.43
2.007,500,51,143.25,14.43
2.096,500,51,143.25,14.43
2.205,500,51,143.24,14.43
2.319,500,51,143.22,14.43
2.44,500,51,143.2,14.43
2.522,500,51,143.17,14.43
2.664,500,51,143.13,14.43
2.756,500,51,143.09,14.43
2.864,500,51,143.05,14.43
3.008,500,51,143.0,14.43
3.099,501,51,143.23,14.43
3.191,501,51,143.18,14.43
3.27,501,51,143.12,14.43
3.354,501,51,143.07,14.43
3.459,501,50,143.02,14.15
3.573,501,51,142.96,14.43
3.655,500,51,142.62,14.43
3.733,500,51,142.58,14.43
3.82,500,51,142.53,14.44
3.925,500,51,142.48,14.44
4.037,500,51,142.45,14.44
4.121,500,51,142.42,14.44
4.224,500,51,142.4,14.44
4.394,500,50,142.35,14.16
4.984,500,50,142.23,14.15
5.169,500,50,142.2,14.15
5.251,499,50,141.89,14.15
9.069,231,51,65.48,14.43
9.656,191,51,54.12,14.42
9.724,185,51,52.41,14.42
9.84,179,51,50.71,14.42
9.928,174,51,49.29,14.42
10.002,170,51,48.17,14.42
10.072,167,50,47.33,14.14
10.157,164,50,46.49,14.14
10.239,162,50,45.93,14.15
10.329,160,50,45.38,14.15
10.432,160,50,45.39,14.15
10.541,160,50,45.41,14.16
10.727,161,51,45.73,14.45
10.841,161,51,45.74,14.45
10.925,161,50,45.75,14.17
10.998,161,50,45.76,14.17
11.074,161,50,45.76,14.17
11.157,161,50,45.75,14.17
11.262,161,50,45.74,14.17
11.384,161,50,45.74,14.17
11.458,161,50,45.74,14.17
11.537,161,51,45.74,14.45
11.655,161,51,45.74,14.45
11.73,161,51,45.74,14.45
11.843,159,51,45.18,14.45
11.926,160,51,45.47,14.45
11.996,161,51,45.76,14.45
12.084,161,51,45.77,14.44
12.156,161,51,45.78,14.44
12.27,161,51,45.78,14.44
12.386,161,51,45.78,14.43
12.464,161,51,45.78,14.43
12.57,161,51,45.78,14.43
12.678,161,51,45.78,14.42
12.766,161,51,45.78,14.42
12.852,161,51,45.78,14.42
12.931,161,51,45.78,14.42
13.011,161,51,45.78,14.42
13.106,160,51,45.49,14.42
13.217,160,51,45.5,14.42
13.33,161,51,45.78,14.43
13.452,161,51,45.79,14.43
13.535,159,51,45.22,14.43
13.668,161,50,45.79,14.15
13.772,161,51,45.79,14.43
13.877,161,51,45.8,14.44
14.017,161,50,45.8,14.16
14.106,161,51,45.79,14.44
14.218,161,51,45.79,14.44
14.333,161,51,45.78,14.44
14.453,161,51,45.78,14.44
14.544,160,50,45.49,14.16
14.673,161,51,45.77,14.44
14.77,160,50,45.49,14.16
14.882,161,50,45.77,14.16
15.02,161,50,45.78,14.16
15.119,161,50,45.78,14.16
15.217,161,50,45.78,14.16
