t_s,wx,wy,x_cm,y_cm
0.113,515,48,146.39,13.54
0.195,515,48,146.38,13.54
0.337,515,48,146.38,13.54
0.443,515,48,146.37,13.54
0.534,515,48,146.37,13.54
0.673,515,48,146.35,13.53
0.768,515,48,146.35,13.53
0.877,515,48,146.35,13.53
0.994,515,48,146.35,13.53
1.114,515,48,146.35,13.53
1.195,515,48,146.36,13.53
1.329,515,48,146.36,13.53
1.409,515,48,146.36,13.53
1.491,515,48,146.36,13.53
1.594,515,49,146.36,13.81
1.709,515,49,146.36,13.81
1.788,515,49,146.36,13.81
1.872,515,48,146.36,13.53
1.989,515,49,146.36,13.81
2.071,515,49,146.36,13.81
2.169,515,48,146.35,13.52
2.258,515,48,146.33,13.52
2.365,515,48,146.32,13.52
2.473,515,49,146.31,13.81
2.561,515,49,146.31,13.81
2.649,515,48,146.31,13.53
2.724,515,48,146.31,13.53
2.83,515,48,146.3,13.53
2.945,515,48,146.28,13.53
3.024,515,48,146.27,13.53
3.127,515,48,146.26,13.53
3.239,514,48,145.97,13.54
3.328,515,48,146.25,13.54
3.536,514,48,145.94,13.54
3.835,514,48,146.01,13.55
3.928,514,48,146.01,13.55
4.006,514,48,146.0,13.55
4.927,492,49,139.67,13.85
5.437,473,49,134.18,13.85
7.561,389,49,110.21,13.87
7.654,386,49,109.39,13.87
7.731,382,49,108.28,13.87
7.825,378,49,107.16,13.87
7.907,376,49,106.61,13.87
8.096,369,49,104.64,13.88
8.209,365,49,103.51,13.88
8.326,361,49,102.38,13.88
8.444,356,48,100.97,13.59
8.666,348,49,98.69,13.88
9.104,331,49,93.85,13.88
9.211,327,50,92.72,14.16
9.395,319,50,90.46,14.16
10.013,296,49,83.96,13.88
10.516,276,49,78.27,13.87
10.601,273,48,77.42,13.59
10.698,269,48,76.28,13.58
11.0,259,47,73.44,13.3
11.112,254,47,72.02,13.3
11.195,250,48,70.89,13.58
12.438,199,50,56.5,14.16
12.538,195,50,55.37,14.16
12.674,191,49,54.24,13.88
12.882,180,49,51.11,13.88
12.991,177,49,50.26,13.88
13.067,173,49,49.14,13.88
13.179,170,49,48.3,13.88
13.265,167,49,47.46,13.88
13.6,160,48,45.48,13.59
13.797,159,48,45.19,13.59
13.877,158,48,44.9,13.59
13.993,159,48,45.18,13.58
14.068,159,48,45.17,13.58
14.182,160,48,45.45,13.58
14.265,160,48,45.44,13.58
14.336,160,48,45.43,13.58
14.421,160,49,45.42,13.86
14.495,160,49,45.42,13.86
14.565,160,49,45.42,13.86
14.671,159,49,45.14,13.86
14.775,159,49,45.15,13.86
14.866,159,49,45.16,13.86
14.946,159,49,45.17,13.86
15.033,159,49,45.18,13.87
15.139,159,49,45.19,13.87
15.251,159,49,45.2,13.86
15.34,158,49,44.92,13.86
15.42,158,49,44.93,13.86
15.507,158,49,44.94,13.86
15.613,158,49,44.95,13.86
15.727,159,49,45.24,13.86
15.806,159,49,45.25,13.86
15.916,158,49,44.97,13.85
16.005,158,49,44.97,13.85
16.084,158,49,44.97,13.85
16.174,158,49,44.97,13.85
16.257,158,49,44.97,13.85
16.351,158,49,44.97,13.85
16.449,159,49,45.25,13.85
16.558,159,49,45.25,13.85
16.675,158,49,44.97,13.85
16.793,158,49,44.96,13.85
16.877,158,49,44.96,13.85
17.014,159,49,45.25,13.85
17.111,159,48,45.24,13.56
17.213,159,49,45.24,13.84
17.357,159,49,45.24,13.84
17.449,159,49,45.24,13.84
17.561,158,49,44.96,13.84
17.674,158,49,44.97,13.84
17.793,158,49,44.97,13.84
17.878,159,49,45.26,13.84
18.018,159,49,45.26,13.84
18.113,158,49,44.97,13.84
18.217,159,49,45.27,13.84
18.359,159,49,45.27,13.84
18.454,159,49,45.27,13.84
18.559,159,49,45.27,13.83
18.677,158,49,44.99,13.83
18.778,159,49,45.27,13.83
