t_s,wx,wy,x_cm,y_cm
0.099,500,53,143.55,15.1
0.178,500,53,143.52,15.1
0.292,500,53,143.49,15.09
0.439,500,53,143.47,15.09
0.522,500,53,143.45,15.09
0.638,500,53,143.44,15.09
0.752,501,53,143.7,15.09
0.871,501,53,143.68,15.08
0.956,500,53,143.36,15.08
1.087,500,53,143.33,15.08
1.166,500,53,143.3,15.07
1.248,500,53,143.27,15.07
1.36,500,53,143.25,15.07
1.469,501,53,143.51,15.07
1.546,501,53,143.49,15.07
1.654,500,53,143.19,15.07
1.758,500,53,143.16,15.07
1.84,500,53,143.14,15.07
1.936,500,53,143.13,15.07
2.012,500,53,143.12,15.06
2.083,500,53,143.11,15.06
2.165,500,53,143.09,15.06
2.247,501,53,143.35,15.06
2.356,501,53,143.33,15.06
2.464,501,53,143.31,15.07
2.543,500,53,143.01,15.07
2.662,500,53,143.01,15.07
2.743,500,53,143.0,15.07
2.829,500,53,142.99,15.07
2.908,500,53,142.97,15.07
2.996,500,53,142.97,15.07
3.1,500,53,142.96,15.07
3.193,500,53,142.94,15.07
3.296,500,53,142.91,15.08
3.407,500,53,142.88,15.08
3.482,501,52,143.14,14.79
3.588,500,53,142.85,15.08
3.681,500,53,142.83,15.08
3.766,501,52,143.1,14.8
3.843,501,52,143.09,14.8
3.954,501,52,143.08,14.8
4.095,501,53,143.09,15.08
4.187,502,51,143.38,14.51
4.485,501,52,143.14,14.8
4.676,501,53,143.16,15.08
4.758,500,53,142.87,15.08
4.826,500,53,142.87,15.08
5.022,500,53,142.86,15.08
5.306,500,53,142.86,15.08
5.912,500,53,142.93,15.08
6.025,500,53,142.94,15.08
6.095,500,53,142.96,15.08
6.2,500,53,142.98,15.08
6.278,500,53,143.0,15.08
6.367,500,53,143.02,15.08
6.448,500,53,143.03,15.09
6.562,500,53,143.04,15.09
6.667,501,53,143.33,15.09
6.762,501,53,143.33,15.1
7.083,500,53,143.01,15.1
7.2,500,53,142.99,15.1
7.282,500,53,142.97,15.1
7.37,500,53,142.93,15.09
7.453,499,53,142.61,15.09
7.562,495,53,141.43,15.09
9.422,243,50,69.23,14.22
9.501,230,51,65.51,14.51
9.693,200,54,56.94,15.36
9.861,181,55,51.5,15.64
9.976,171,54,48.65,15.35
10.088,164,54,46.66,15.35
10.161,161,54,45.8,15.35
10.276,161,53,45.8,15.07
10.351,160,54,45.52,15.35
10.425,160,53,45.52,15.07
10.505,160,54,45.51,15.35
10.586,160,54,45.51,15.35
10.696,160,54,45.51,15.35
10.815,160,54,45.51,15.35
10.932,160,54,45.51,15.35
11.044,160,54,45.51,15.35
11.117,160,54,45.51,15.35
11.23,160,54,45.51,15.35
11.34,160,54,45.51,15.35
11.426,160,54,45.51,15.35
11.532,160,54,45.52,15.35
11.641,160,54,45.52,15.35
11.754,160,54,45.53,15.35
11.825,160,54,45.53,15.35
11.941,160,54,45.53,15.35
12.019,160,54,45.54,15.35
12.108,160,54,45.54,15.35
12.189,160,54,45.54,15.35
12.302,160,54,45.54,15.35
12.444,160,54,45.54,15.35
12.533,160,54,45.53,15.34
12.648,160,54,45.53,15.34
12.762,160,54,45.52,15.34
12.88,160,54,45.52,15.34
12.958,160,54,45.52,15.34
13.103,160,54,45.52,15.34
13.188,160,54,45.52,15.34
13.299,160,54,45.52,15.33
13.447,160,54,45.53,15.33
13.537,160,54,45.53,15.33
13.655,160,54,45.53,15.33
13.765,160,54,45.53,15.33
13.883,160,54,45.53,15.33
13.961,160,54,45.53,15.32
14.099,160,54,45.53,15.32
14.179,160,54,45.53,15.32
14.26,160,54,45.53,15.32
14.373,160,54,45.52,15.33
14.447,160,54,45.52,15.33
14.543,160,54,45.52,15.33
14.623,160,54,45.52,15.33
14.712,160,54,45.52,15.33
14.802,160,54,45.51,15.33
