t_s,wx,wy,x_cm,y_cm
0.112,500,50,143.02,14.14
0.227,500,51,143.04,14.43
0.311,500,51,143.06,14.43
0.455,500,51,143.07,14.43
0.546,500,51,143.08,14.44
0.657,500,51,143.08,14.44
0.788,500,51,143.07,14.44
0.892,500,51,143.07,14.44
0.997,500,51,143.07,14.44
1.107,500,51,143.07,14.44
1.212,500,51,143.07,14.45
1.293,500,51,143.05,14.45
1.379,500,51,143.04,14.45
1.483,500,51,143.01,14.45
1.595,500,51,142.99,14.45
1.674,500,51,142.97,14.45
1.767,500,51,142.95,14.45
1.84,500,51,142.93,14.45
1.948,500,51,142.91,14.45
2.056,500,50,142.91,14.16
2.142,500,50,142.91,14.16
2.248,500,50,142.92,14.16
2.36,500,50,142.93,14.16
2.446,500,51,142.95,14.45
2.546,500,51,142.95,14.45
2.656,500,51,142.96,14.45
2.773,500,51,142.94,14.45
2.899,500,51,142.92,14.45
2.974,500,51,142.88,14.45
3.11,500,51,142.86,14.45
3.188,500,51,142.84,14.45
3.275,500,51,142.82,14.45
3.354,500,51,142.8,14.45
3.443,500,51,142.78,14.45
3.544,500,51,142.75,14.45
3.95,500,50,142.64,14.16
4.019,500,50,142.6,14.16
4.107,500,50,142.61,14.17
4.376,499,50,142.35,14.17
4.447,500,50,142.63,14.17
4.958,499,50,142.28,14.16
5.041,497,50,141.69,14.16
6.77,367,50,104.27,14.14
6.849,359,50,101.99,14.13
6.941,351,50,99.7,14.13
7.98,272,48,77.21,13.55
8.125,264,48,74.93,13.55
8.218,252,48,71.53,13.55
8.325,244,49,69.26,13.83
9.327,164,48,46.52,13.55
9.515,159,48,45.12,13.55
10.014,161,48,45.73,13.56
10.124,161,48,45.73,13.56
10.225,161,48,45.74,13.57
10.311,161,48,45.75,13.57
10.394,160,48,45.47,13.57
10.477,160,48,45.48,13.57
10.584,160,48,45.49,13.58
10.697,159,48,45.21,13.58
10.781,160,48,45.52,13.58
10.885,160,48,45.54,13.59
11.0,160,48,45.56,13.59
11.113,160,48,45.57,13.6
11.233,160,48,45.57,13.6
11.318,160,48,45.57,13.6
11.453,160,48,45.57,13.6
11.534,160,48,45.58,13.6
11.62,160,48,45.58,13.6
11.703,160,48,45.58,13.6
11.792,160,48,45.58,13.6
11.893,160,48,45.58,13.6
12.009,160,48,45.58,13.6
12.121,160,48,45.59,13.6
12.238,161,48,45.88,13.6
12.323,160,48,45.6,13.6
12.462,161,48,45.9,13.6
12.557,160,48,45.62,13.6
12.662,160,48,45.63,13.6
12.809,159,48,45.35,13.6
12.893,160,48,45.65,13.6
13.008,159,48,45.37,13.6
13.121,161,48,45.95,13.6
13.24,160,48,45.67,13.6
13.323,160,48,45.67,13.6
13.466,160,48,45.67,13.6
13.556,159,49,45.39,13.89
13.669,160,48,45.68,13.61
13.802,159,48,45.4,13.61
13.905,159,48,45.4,13.61
13.996,159,48,45.4,13.61
14.125,159,48,45.4,13.61
14.226,159,48,45.39,13.61
14.311,159,48,45.39,13.61
14.391,160,48,45.68,13.61
14.495,160,48,45.68,13.61
14.611,159,48,45.39,13.61
14.69,160,48,45.68,13.61
14.79,160,48,45.68,13.61
