t_s,wx,wy,x_cm,y_cm
0.115,500,50,142.6,14.15
0.242,500,50,142.63,14.15
0.332,500,50,142.66,14.16
0.428,500,50,142.68,14.16
0.536,500,50,142.7,14.16
0.672,500,50,142.72,14.16
0.772,500,50,142.74,14.16
0.858,500,50,142.75,14.16
0.941,500,50,142.76,14.16
1.028,500,50,142.77,14.16
1.124,500,50,142.79,14.16
1.24,500,50,142.8,14.16
1.33,500,50,142.82,14.16
1.413,500,50,142.83,14.16
1.484,500,50,142.84,14.16
1.602,500,50,142.86,14.16
1.71,500,50,142.86,14.16
1.79,500,50,142.87,14.16
1.897,500,50,142.86,14.16
1.988,500,50,142.87,14.16
2.067,500,50,142.88,14.16
2.161,500,50,142.88,14.16
2.238,500,50,142.9,14.16
2.332,500,50,142.96,14.16
2.431,500,50,143.0,14.16
2.541,501,50,143.32,14.16
2.655,500,50,143.05,14.15
2.778,500,50,143.06,14.15
2.858,500,50,143.07,14.15
2.988,500,50,143.07,14.15
3.073,500,50,143.07,14.15
3.157,500,50,143.07,14.15
3.236,500,50,143.06,14.15
3.328,501,50,143.35,14.15
3.434,501,50,143.35,14.15
3.539,501,50,143.35,14.15
3.693,501,50,143.32,14.15
3.764,500,50,143.02,14.15
3.834,500,50,143.02,14.15
3.922,500,50,143.01,14.15
4.007,500,50,143.0,14.14
4.088,500,50,142.98,14.14
4.196,500,50,142.97,14.14
4.34,500,50,142.95,14.14
4.432,499,50,142.64,14.14
4.539,499,50,142.61,14.15
4.615,499,50,142.59,14.15
4.909,493,50,140.8,14.15
4.993,487,50,139.11,14.15
5.066,478,50,136.59,14.16
6.133,351,50,100.4,14.2
6.201,343,50,98.1,14.2
8.214,160,52,45.71,14.76
8.32,160,52,45.7,14.75
8.393,159,52,45.39,14.75
8.511,160,52,45.66,14.74
8.589,158,52,45.08,14.74
8.659,158,52,45.07,14.74
8.744,159,51,45.35,14.45
8.822,158,52,45.07,14.73
8.889,159,51,45.36,14.45
8.999,159,51,45.37,14.45
9.112,158,52,45.09,14.74
9.193,159,52,45.38,14.74
9.273,159,52,45.39,14.73
9.364,159,52,45.39,14.73
9.471,158,52,45.11,14.73
9.582,158,52,45.12,14.73
9.666,158,52,45.12,14.73
9.746,159,51,45.41,14.44
9.832,159,51,45.41,14.44
9.941,159,51,45.41,14.44
10.052,159,52,45.41,14.72
10.135,159,52,45.42,14.72
10.245,159,52,45.42,14.73
10.337,160,52,45.7,14.73
10.415,159,51,45.41,14.44
10.503,160,52,45.7,14.73
10.584,160,52,45.7,14.73
10.677,159,52,45.42,14.73
10.775,158,52,45.13,14.73
10.887,158,52,45.13,14.73
11.001,160,51,45.7,14.45
11.132,160,51,45.7,14.45
11.248,160,52,45.7,14.73
11.339,158,52,45.12,14.73
