t_s,wx,wy,x_cm,y_cm
0.082,487,50,147.32,15.12
0.418,486,50,147.01,15.12
0.502,487,50,147.32,15.12
0.587,487,50,147.32,15.12
0.682,487,50,147.32,15.12
0.765,487,50,147.32,15.12
0.854,487,50,147.32,15.12
0.941,487,50,147.32,15.12
1.026,487,50,147.32,15.12
1.115,487,50,147.32,15.12
1.2,487,50,147.32,15.12
1.379,487,50,147.32,15.12
1.877,487,50,147.32,15.12
1.958,487,50,147.32,15.12
2.048,487,50,147.32,15.12
2.128,487,50,147.32,15.12
2.21,487,50,147.32,15.12
2.293,487,50,147.32,15.12
2.375,487,50,147.32,15.12
2.459,487,50,147.32,15.12
2.543,487,50,147.32,15.12
2.626,487,50,147.32,15.12
2.72,487,50,147.32,15.12
2.803,487,50,147.32,15.12
2.888,487,50,147.32,15.12
2.972,487,50,147.32,15.12
3.057,487,50,147.32,15.12
3.141,487,50,147.32,15.12
3.224,487,50,147.32,15.12
3.309,487,50,147.32,15.12
3.4,487,50,147.32,15.12
3.479,487,50,147.32,15.12
3.56,487,50,147.32,15.12
3.952,487,50,147.32,15.12
4.185,487,50,147.32,15.12
4.259,487,50,147.32,15.12
4.334,487,50,147.32,15.12
4.408,487,51,147.32,15.43
4.483,487,51,147.32,15.43
4.56,485,50,146.71,15.12
4.643,484,51,146.41,15.43
4.717,482,51,145.81,15.43
4.793,478,51,144.59,15.43
4.942,466,51,140.97,15.43
5.016,463,50,140.06,15.12
5.094,457,49,138.24,14.82
5.255,450,47,136.12,14.22
5.332,445,46,134.61,13.91
5.407,441,45,133.4,13.61
5.484,438,45,132.5,13.61
5.559,435,45,131.59,13.61
5.635,432,45,130.68,13.61
5.712,428,45,129.47,13.61
5.789,425,45,128.56,13.61
5.873,419,46,126.75,13.91
5.948,415,46,125.54,13.91
6.024,410,46,124.02,13.91
6.103,405,46,122.51,13.91
6.179,401,47,121.3,14.22
6.257,397,47,120.09,14.22
6.335,390,46,117.97,13.91
6.414,387,48,117.07,14.52
6.5,383,47,115.86,14.22
6.576,377,47,114.04,14.22
6.812,365,46,110.41,13.91
6.967,351,45,106.18,13.61
7.671,304,43,91.96,13.01
7.756,300,43,90.75,13.01
7.835,294,43,88.94,13.01
7.913,287,43,86.82,13.01
8.223,259,43,78.35,13.01
8.465,242,44,73.2,13.31
8.542,235,44,71.09,13.31
8.618,230,44,69.58,13.31
8.697,225,44,68.06,13.31
8.776,218,44,65.94,13.31
8.855,214,45,64.73,13.61
8.932,207,45,62.62,13.61
9.019,203,45,61.41,13.61
9.096,197,44,59.59,13.31
9.172,193,43,58.38,13.01
9.25,189,43,57.17,13.01
9.329,186,43,56.27,13.01
9.407,182,43,55.05,13.01
9.487,180,43,54.45,13.01
10.196,175,43,52.94,13.01
10.279,174,43,52.63,13.01
10.356,174,43,52.63,13.01
10.437,174,43,52.63,13.01
10.514,174,43,52.63,13.01
10.59,174,43,52.63,13.01
10.665,174,43,52.63,13.01
10.742,174,43,52.63,13.01
10.819,174,43,52.63,13.01
10.901,174,43,52.63,13.01
10.977,175,43,52.94,13.01
11.053,174,43,52.63,13.01
11.131,175,43,52.94,13.01
11.21,175,43,52.94,13.01
11.288,175,43,52.94,13.01
11.367,175,43,52.94,13.01
11.449,175,43,52.94,13.01
11.535,175,43,52.94,13.01
11.615,175,43,52.94,13.01
11.696,175,43,52.94,13.01
11.777,175,43,52.94,13.01
11.859,175,43,52.94,13.01
11.939,175,43,52.94,13.01
12.02,175,43,52.94,13.01
12.102,175,43,52.94,13.01
12.194,174,43,52.63,13.01
12.275,175,43,52.94,13.01
12.359,175,43,52.94,13.01
12.444,175,43,52.94,13.01
12.527,175,42,52.94,12.7
12.61,175,43,52.94,13.01
12.694,174,43,52.63,13.01
12.777,175,42,52.94,12.7
12.868,175,43,52.94,13.01
12.949,175,43,52.94,13.01
13.031,175,43,52.94,13.01
13.115,175,43,52.94,13.01
13.197,175,43,52.94,13.01
13.28,175,43,52.94,13.01
