t_s,wx,wy,x_cm,y_cm
0.086,501,48,143.21,13.68
0.185,501,48,143.23,13.67
0.301,501,48,143.24,13.67
0.41,501,48,143.26,13.67
0.493,501,48,143.27,13.67
0.596,501,48,143.28,13.67
0.707,501,48,143.3,13.67
0.788,501,48,143.32,13.67
1.006,501,48,143.37,13.66
1.084,501,48,143.4,13.66
1.178,501,48,143.43,13.66
1.252,501,48,143.46,13.66
1.37,501,48,143.49,13.66
1.477,501,48,143.51,13.66
1.555,501,48,143.57,13.67
1.657,500,48,143.35,13.67
1.771,501,48,143.68,13.67
1.89,501,48,143.73,13.67
2.002,501,48,143.77,13.67
2.082,501,48,143.79,13.67
2.298,501,48,143.83,13.68
2.383,501,48,143.84,13.68
2.475,501,48,143.83,13.67
2.564,501,48,143.81,13.67
2.659,501,48,143.8,13.67
2.776,501,48,143.78,13.67
2.892,501,48,143.76,13.67
3.007,501,48,143.75,13.67
3.083,501,48,143.73,13.67
3.303,501,48,143.68,13.67
3.392,500,46,143.38,13.1
3.493,501,48,143.64,13.67
3.562,500,48,143.33,13.67
3.663,500,48,143.3,13.67
3.781,500,48,143.28,13.67
3.894,500,48,143.25,13.67
3.984,500,48,143.23,13.67
4.077,500,48,143.21,13.67
4.157,500,48,143.18,13.67
4.261,500,48,143.17,13.67
5.732,238,48,67.9,13.65
6.903,161,47,45.85,13.36
6.973,162,46,46.12,13.08
7.051,162,46,46.11,13.08
7.149,162,46,46.1,13.07
7.269,161,46,45.81,13.07
7.374,162,46,46.08,13.07
7.461,162,46,46.07,13.07
7.546,162,46,46.06,13.07
7.63,162,46,46.05,13.07
7.74,162,46,46.05,13.07
7.819,162,46,46.05,13.07
7.906,162,46,46.05,13.07
7.983,162,46,46.05,13.07
8.052,161,47,45.78,13.35
8.166,161,46,45.8,13.07
8.281,162,46,46.11,13.07
8.356,162,46,46.13,13.07
8.445,162,46,46.15,13.07
8.555,162,46,46.16,13.07
8.636,162,46,46.18,13.08
8.751,162,46,46.22,13.08
8.825,161,47,45.97,13.37
8.917,161,46,46.01,13.09
8.998,160,47,45.75,13.38
9.11,162,46,46.36,13.1
9.223,162,46,46.39,13.11
9.298,162,46,46.42,13.11
9.412,162,46,46.44,13.12
9.524,162,47,46.46,13.4
9.643,162,46,46.48,13.12
9.753,162,46,46.49,13.12
9.831,161,47,46.21,13.41
9.917,162,46,46.52,13.13
10.003,162,46,46.54,13.13
10.114,162,46,46.56,13.14
10.228,162,46,46.58,13.14
10.314,162,46,46.59,13.14
10.408,162,46,46.6,13.14
10.495,162,46,46.61,13.15
10.587,162,46,46.62,13.15
