t_s,wx,wy,x_cm,y_cm
0.337,494,45,144.11,13.06
0.525,485,45,141.48,13.06
0.634,477,45,139.15,13.06
0.919,464,45,135.35,13.06
1.056,453,46,132.13,13.35
1.172,445,47,129.8,13.64
1.282,439,47,128.04,13.64
1.651,418,49,121.91,14.22
1.768,411,50,119.87,14.51
1.91,407,50,118.7,14.51
2.0,402,50,117.24,14.51
2.572,378,50,110.25,14.51
3.217,347,50,101.22,14.52
3.715,323,49,94.22,14.22
3.841,317,49,92.47,14.22
3.947,312,49,91.02,14.23
4.179,301,49,87.81,14.22
4.28,298,49,86.94,14.22
4.368,293,49,85.48,14.23
4.478,289,49,84.32,14.23
4.577,285,49,83.15,14.23
4.666,278,49,81.1,14.23
4.776,273,49,79.64,14.23
4.918,270,49,78.77,14.23
5.007,264,49,77.01,14.23
5.106,258,49,75.26,14.23
5.228,253,49,73.8,14.22
5.33,246,49,71.75,14.22
5.417,243,49,70.88,14.22
6.45,193,50,56.29,14.51
6.675,181,49,52.79,14.22
6.784,176,49,51.34,14.22
6.897,171,49,49.88,14.22
7.023,166,50,48.43,14.51
7.146,160,49,46.68,14.22
7.239,157,49,45.8,14.22
7.336,151,49,44.05,14.22
