t_s,wx,wy,x_cm,y_cm
0.065,488,54,142.1,15.58
0.259,480,56,139.8,16.15
0.458,467,52,136.03,15.0
0.562,463,50,134.85,14.43
0.661,457,47,133.1,13.56
0.759,451,47,131.34,13.57
0.831,446,47,129.86,13.57
0.927,438,47,127.51,13.57
1.028,430,48,125.17,13.86
1.135,421,48,122.53,13.86
1.233,415,49,120.76,14.15
1.328,404,50,117.54,14.45
1.429,398,52,115.78,15.02
1.561,390,51,113.45,14.74
1.662,380,50,110.55,14.45
1.761,371,50,107.93,14.45
1.886,362,49,105.31,14.16
1.99,353,48,102.68,13.87
2.098,341,48,99.18,13.87
2.232,331,47,96.28,13.59
2.335,318,48,92.5,13.87
2.663,286,50,83.2,14.45
2.76,280,50,81.45,14.45
2.887,272,50,79.12,14.45
2.964,263,49,76.49,14.16
3.06,255,48,74.14,13.88
3.162,246,48,71.5,13.88
3.262,236,47,68.58,13.59
3.363,227,47,65.95,13.59
3.461,217,47,63.03,13.59
3.553,210,47,60.98,13.59
3.637,200,49,58.06,14.17
3.729,193,50,56.02,14.45
3.832,186,50,53.98,14.45
3.925,177,50,51.35,14.45
4.03,168,49,48.73,14.17
4.133,159,48,46.12,13.88
4.228,153,48,44.37,13.88
4.331,139,48,40.31,13.88
4.437,130,48,37.7,13.88
