t_s,wx,wy,x_cm,y_cm
0.07,479,51,140.41,14.72
0.171,473,51,138.65,14.72
0.267,467,51,136.88,14.72
0.379,460,51,134.82,14.72
0.477,452,51,132.47,14.72
0.558,448,51,131.29,14.72
0.633,441,52,129.23,15.01
0.705,438,52,128.34,15.01
0.8,432,52,126.58,15.01
0.904,429,52,125.7,15.02
1.001,421,51,123.36,14.73
1.099,415,51,121.59,14.73
1.181,411,51,120.42,14.73
1.261,405,51,118.67,14.74
1.333,401,51,117.5,14.74
1.42,397,50,116.32,14.45
1.498,391,50,114.56,14.45
1.622,385,50,112.8,14.45
1.698,379,50,111.04,14.45
1.802,373,49,109.28,14.17
1.911,369,49,108.12,14.17
1.999,361,49,105.78,14.17
2.101,356,49,104.32,14.17
2.231,350,49,102.57,14.17
2.341,341,49,99.95,14.17
2.434,336,49,98.49,14.17
2.775,315,50,92.34,14.46
3.301,286,50,83.82,14.46
3.37,282,50,82.65,14.46
3.472,277,50,81.18,14.46
3.57,273,50,80.01,14.46
3.668,266,50,77.96,14.46
3.771,261,50,76.5,14.46
3.911,256,50,75.04,14.45
4.004,249,50,72.99,14.45
4.106,244,49,71.53,14.16
4.225,238,49,69.77,14.16
4.302,232,49,68.01,14.16
4.385,228,49,66.83,14.16
4.468,223,49,65.36,14.16
4.593,219,49,64.19,14.16
4.669,213,50,62.43,14.45
4.773,209,50,61.25,14.45
4.907,203,50,59.49,14.45
5.005,197,50,57.73,14.45
5.106,192,50,56.27,14.45
5.243,187,50,54.8,14.45
5.342,180,49,52.75,14.16
5.44,175,49,51.28,14.16
5.574,168,49,49.23,14.16
5.673,163,50,47.76,14.45
5.772,159,50,46.59,14.45
5.907,153,50,44.83,14.45
6.006,147,50,43.07,14.45
6.112,140,50,41.02,14.45
6.233,135,50,39.56,14.45
