t_s,wx,wy,x_cm,y_cm
0.092,501,49,142.01,13.83
0.205,501,49,142.03,13.83
0.323,501,49,142.05,13.83
0.439,501,49,142.07,13.83
0.52,501,49,142.09,13.83
0.662,501,49,142.1,13.83
0.757,501,49,142.11,13.83
0.86,501,49,142.11,13.83
1.0,501,49,142.11,13.83
1.091,501,49,142.12,13.84
1.207,501,49,142.13,13.84
1.323,501,49,142.14,13.84
1.437,501,49,142.14,13.84
1.523,501,49,142.16,13.85
1.662,501,49,142.16,13.85
1.756,501,49,142.15,13.85
1.86,501,49,142.15,13.85
2.0,501,49,142.16,13.85
2.106,501,49,142.18,13.85
2.191,501,49,142.21,13.86
2.324,501,49,142.23,13.86
2.422,501,49,142.24,13.86
2.509,501,49,142.26,13.85
2.589,501,49,142.27,13.85
2.691,501,49,142.28,13.85
2.805,501,49,142.29,13.85
2.894,501,49,142.3,13.85
2.976,501,49,142.31,13.85
3.052,501,49,142.32,13.85
3.16,501,49,142.33,13.85
3.268,501,49,142.35,13.85
3.352,501,49,142.36,13.85
3.455,501,49,142.38,13.85
3.566,501,49,142.39,13.85
3.661,501,49,142.4,13.85
3.753,501,49,142.4,13.85
3.865,501,49,142.4,13.85
3.98,501,49,142.4,13.85
4.102,501,49,142.4,13.85
4.181,501,49,142.4,13.85
4.321,501,49,142.41,13.85
4.397,501,49,142.41,13.85
4.485,501,49,142.41,13.85
4.558,501,49,142.42,13.85
4.659,501,49,142.42,13.85
4.753,501,49,142.41,13.85
4.861,501,49,142.4,13.85
4.976,501,49,142.39,13.85
5.048,501,48,142.38,13.57
5.163,501,49,142.36,13.85
5.247,501,49,142.34,13.85
5.323,501,49,142.35,13.85
5.396,501,49,142.36,13.85
5.481,500,49,142.06,13.85
5.586,500,48,142.02,13.56
5.699,499,48,141.71,13.56
5.781,500,48,141.97,13.55
5.859,499,48,141.65,13.55
6.166,500,49,141.9,13.82
6.248,500,49,141.89,13.82
6.316,500,49,141.88,13.82
6.397,501,49,142.15,13.82
6.482,500,49,141.86,13.82
6.586,500,49,141.84,13.82
6.704,499,49,141.55,13.82
6.78,496,48,140.68,13.54
6.887,494,49,140.11,13.82
6.978,493,50,139.82,14.1
7.052,489,47,138.67,13.26
7.165,488,49,138.38,13.82
7.25,486,49,137.8,13.82
7.318,485,49,137.51,13.82
7.422,483,48,136.94,13.54
7.529,481,48,136.36,13.54
7.646,478,47,135.51,13.26
7.715,478,48,135.5,13.54
7.829,476,48,134.92,13.54
7.918,475,48,134.62,13.54
8.007,473,48,134.04,13.54
8.081,471,48,133.45,13.54
8.188,469,48,132.86,13.54
8.329,467,48,132.29,13.54
8.646,457,47,129.45,13.26
9.647,437,48,123.95,13.57
10.327,423,47,120.0,13.29
10.431,421,47,119.42,13.29
10.523,418,47,118.55,13.29
10.603,417,47,118.25,13.29
10.791,413,46,117.09,13.01
10.906,411,46,116.51,13.01
10.985,410,46,116.21,13.01
11.131,406,46,115.05,13.02
11.225,404,46,114.46,13.02
11.316,403,46,114.18,13.02
11.387,401,46,113.61,13.02
11.504,400,46,113.32,13.02
11.608,398,46,112.75,13.02
11.687,396,46,112.18,13.02
11.795,395,46,111.9,13.02
11.909,394,46,111.62,13.02
12.002,393,46,111.33,13.02
12.092,391,46,110.76,13.02
12.206,390,46,110.48,13.02
12.32,388,45,109.91,12.74
12.387,387,46,109.63,13.02
12.513,385,45,109.05,12.73
12.589,384,45,108.76,12.73
12.666,383,46,108.48,13.02
12.762,382,46,108.2,13.02
13.004,378,46,107.06,13.02
13.207,375,44,106.21,12.45
13.319,372,45,105.36,12.73
14.208,357,45,101.13,12.73
14.321,356,45,100.86,12.73
14.391,355,44,100.59,12.45
14.591,352,45,99.75,12.73
14.694,350,45,99.2,12.73
14.81,348,45,98.64,12.73
14.891,346,45,98.09,12.73
15.014,345,45,97.81,12.73
15.105,343,46,97.26,13.01
15.19,341,46,96.7,13.01
15.271,340,44,96.43,12.45
15.357,338,44,95.87,12.45
15.463,336,46,95.29,13.02
15.574,335,44,95.0,12.45
15.659,334,44,94.71,12.45
15.76,331,44,93.85,12.45
15.869,330,44,93.56,12.45
16.056,327,44,92.7,12.45
16.171,325,44,92.12,12.45
16.275,324,43,91.84,12.17
16.359,323,46,91.55,13.02
16.465,322,44,91.27,12.45
16.573,321,43,90.99,12.17
16.665,319,45,90.43,12.73
16.762,316,45,89.59,12.73
16.877,314,45,89.03,12.74
16.986,311,45,88.2,12.74
19.563,264,46,74.91,13.02
20.338,254,46,72.08,13.01
20.646,251,45,71.22,12.73
20.745,250,45,70.94,12.73
20.841,248,45,70.37,12.73
