t_s,wx,wy,x_cm,y_cm
0.132,515,47,147.11,13.25
0.229,515,47,147.11,13.25
0.334,515,47,147.11,13.25
0.473,515,47,147.11,13.26
0.575,515,47,147.11,13.26
0.66,515,47,147.09,13.26
0.749,515,47,147.09,13.26
0.875,515,47,147.07,13.26
0.98,515,47,147.06,13.26
1.066,515,47,147.05,13.26
1.165,515,47,147.03,13.26
1.28,515,47,147.03,13.27
1.356,515,47,147.01,13.27
1.455,515,47,147.0,13.27
1.576,515,47,146.99,13.27
1.665,515,47,146.98,13.26
1.797,515,47,146.98,13.26
1.87,515,47,146.97,13.26
1.96,515,47,146.96,13.26
2.037,515,47,146.93,13.26
2.125,515,48,146.91,13.54
2.23,515,47,146.89,13.26
2.341,515,47,146.85,13.26
2.455,515,47,146.83,13.26
2.577,515,48,146.81,13.54
2.657,515,47,146.78,13.26
2.8,515,47,146.77,13.26
2.88,515,47,146.78,13.26
2.956,515,47,146.77,13.26
3.037,515,47,146.78,13.26
3.135,515,47,146.77,13.26
3.225,516,46,147.05,12.98
7.861,391,47,110.79,13.29
8.194,379,48,107.37,13.57
8.308,375,48,106.23,13.57
8.392,372,48,105.38,13.58
8.476,370,48,104.81,13.58
8.558,366,48,103.68,13.58
8.665,363,48,102.83,13.58
8.809,358,49,101.41,13.87
8.904,353,50,100.0,14.15
9.009,350,48,99.15,13.59
9.395,335,49,94.91,13.87
11.867,248,46,70.19,13.02
14.938,159,48,45.1,13.59
15.047,159,48,45.09,13.59
15.134,159,48,45.09,13.59
15.236,158,48,44.81,13.59
15.345,158,49,44.82,13.87
15.458,157,49,44.54,13.87
15.532,157,49,44.55,13.87
15.647,158,49,44.84,13.86
15.732,158,49,44.85,13.86
15.812,158,49,44.86,13.86
15.88,158,49,44.86,13.86
15.967,158,49,44.87,13.86
16.051,158,49,44.88,13.86
16.146,157,49,44.6,13.85
16.242,157,49,44.6,13.85
16.354,158,49,44.89,13.85
16.468,157,49,44.6,13.85
16.594,158,49,44.89,13.85
16.673,158,49,44.89,13.85
16.816,158,49,44.89,13.84
16.902,158,49,44.89,13.84
17.014,158,49,44.89,13.84
17.152,158,49,44.89,13.84
17.252,157,49,44.61,13.83
17.357,158,49,44.89,13.83
17.478,158,49,44.89,13.83
17.576,158,49,44.88,13.83
17.656,158,49,44.88,13.83
17.757,158,49,44.88,13.82
17.845,158,49,44.88,13.82
17.952,158,49,44.88,13.82
18.044,157,49,44.6,13.82
18.138,157,49,44.6,13.82
18.257,158,49,44.89,13.83
18.344,157,49,44.61,13.83
18.423,158,49,44.9,13.83
18.521,158,49,44.9,13.83
18.614,158,49,44.91,13.83
18.728,158,49,44.91,13.83
18.815,159,49,45.2,13.83
18.916,159,49,45.2,13.83
19.026,159,49,45.2,13.83
