t_s,wx,wy,x_cm,y_cm
0.072,501,48,142.93,13.6
0.185,501,48,142.96,13.61
0.265,501,48,143.0,13.61
0.347,501,48,143.04,13.61
0.431,501,48,143.07,13.61
0.539,501,48,143.09,13.61
0.676,501,48,143.12,13.61
0.774,501,48,143.16,13.61
0.887,501,48,143.2,13.61
0.999,501,48,143.24,13.61
1.108,501,48,143.27,13.61
1.198,501,48,143.29,13.61
1.337,501,48,143.31,13.61
1.43,501,48,143.33,13.61
1.537,501,48,143.34,13.61
1.677,501,48,143.35,13.61
1.778,501,48,143.35,13.61
1.883,501,48,143.34,13.61
1.997,501,48,143.34,13.61
2.098,501,48,143.35,13.62
2.182,501,48,143.34,13.62
2.265,501,48,143.32,13.62
2.374,501,48,143.3,13.62
2.485,501,48,143.27,13.62
2.564,501,48,143.25,13.62
2.675,501,48,143.24,13.62
2.783,501,48,143.22,13.62
2.863,501,48,143.24,13.62
2.945,501,48,143.27,13.62
3.037,501,48,143.28,13.62
3.136,501,48,143.29,13.62
3.255,501,48,143.29,13.63
3.33,501,48,143.29,13.63
3.433,501,48,143.29,13.63
3.543,501,48,143.29,13.63
3.654,501,48,143.28,13.63
3.728,501,48,143.28,13.63
3.84,501,48,143.28,13.63
3.93,501,49,143.27,13.91
4.005,502,49,143.54,13.91
4.159,502,48,143.48,13.62
4.335,501,48,143.15,13.62
4.432,501,48,143.13,13.62
4.545,501,48,143.1,13.62
4.653,502,49,143.4,13.9
4.843,501,48,143.2,13.62
4.929,502,49,143.51,13.91
5.078,501,48,143.26,13.63
5.159,501,48,143.26,13.63
5.265,501,48,143.26,13.63
5.344,501,48,143.25,13.63
5.43,501,48,143.24,13.63
5.544,501,48,143.23,13.63
5.657,501,49,143.21,13.91
5.73,501,49,143.19,13.91
5.846,501,49,143.17,13.91
5.928,501,49,143.14,13.91
5.999,500,49,142.83,13.91
6.082,500,49,142.81,13.91
6.158,499,49,142.5,13.91
6.267,495,49,141.34,13.91
7.383,484,50,137.82,14.16
7.661,478,50,136.05,14.16
7.911,473,50,134.59,14.16
13.007,389,49,110.93,13.89
15.847,341,49,97.16,13.88
16.256,333,49,94.86,13.87
16.344,332,49,94.56,13.87
16.443,329,49,93.73,13.87
18.749,302,48,85.91,13.6
19.346,292,48,82.95,13.6
19.453,289,47,82.09,13.32
19.541,287,47,81.53,13.32
19.624,285,47,80.96,13.32
20.011,279,47,79.27,13.32
20.092,277,47,78.7,13.32
20.334,274,47,77.9,13.33
20.409,271,47,77.11,13.33
20.63,266,47,75.82,13.35
20.816,263,47,75.04,13.36
20.927,261,47,74.5,13.36
21.017,260,46,74.26,13.08
21.116,258,46,73.72,13.09
21.226,256,46,73.17,13.09
21.335,254,47,72.61,13.38
21.525,250,47,71.48,13.38
21.61,248,47,70.92,13.38
21.777,245,47,70.07,13.38
22.119,240,46,68.63,13.1
22.222,238,46,68.05,13.1
22.293,237,47,67.76,13.39
22.377,237,47,67.75,13.39
22.459,235,46,67.17,13.11
22.757,229,46,65.43,13.1
22.85,227,46,64.85,13.1
22.949,225,47,64.26,13.38
23.021,225,47,64.25,13.38
23.229,219,47,62.52,13.38
23.341,218,46,62.23,13.09
23.53,214,46,61.08,13.09
23.62,212,46,60.5,13.09
23.718,210,47,59.93,13.37
23.913,207,46,59.06,13.08
24.126,204,47,58.2,13.37
24.213,202,47,57.62,13.37
24.3,201,46,57.33,13.08
24.9,190,47,54.17,13.36
25.131,186,46,53.01,13.07
25.219,184,46,52.43,13.07
25.35,182,46,51.85,13.07
25.424,180,46,51.28,13.07
25.515,178,46,50.7,13.07
25.598,177,46,50.41,13.07
25.685,176,47,50.12,13.35
25.785,174,46,49.55,13.06
25.903,172,46,48.97,13.06
26.01,171,46,48.68,13.06
26.282,167,46,47.53,13.05
26.362,166,46,47.25,13.05
26.446,165,46,46.96,13.05
26.556,164,47,46.68,13.33
26.687,163,47,46.39,13.33
26.792,162,47,46.11,13.33
26.902,162,47,46.11,13.33
27.012,163,46,46.39,13.04
27.082,163,46,46.39,13.04
27.205,163,46,46.39,13.04
27.281,161,46,45.83,13.04
27.35,161,46,45.83,13.04
27.428,162,46,46.11,13.04
27.503,162,46,46.11,13.04
27.577,163,46,46.39,13.04
27.963,163,46,46.41,13.03
28.05,161,47,45.85,13.31
28.262,161,47,45.86,13.31
28.352,161,47,45.86,13.31
28.432,161,47,45.87,13.31
28.516,163,46,46.44,13.02
28.626,163,46,46.45,13.02
28.738,162,47,46.17,13.3
28.821,162,47,46.17,13.3
28.927,161,47,45.89,13.29
29.027,163,46,46.46,13.01
29.226,163,46,46.46,13.0
29.368,161,47,45.89,13.28
29.574,162,46,46.18,13.0
29.688,162,46,46.18,13.0
29.814,162,46,46.18,13.0
29.906,162,46,46.18,13.0
30.03,161,46,45.89,13.0
30.128,161,46,45.89,13.0
30.231,161,46,45.9,13.0
30.37,163,46,46.48,13.0
30.464,162,46,46.2,13.01
30.576,163,46,46.49,13.01
30.813,162,46,46.21,13.01
31.038,161,46,45.92,13.02
31.375,161,46,45.92,13.02
31.577,161,46,45.91,13.02
31.691,161,46,45.91,13.02
31.795,161,46,45.9,13.02
31.879,161,46,45.9,13.02
31.963,162,46,46.18,13.02
