t_s,wx,wy,x_cm,y_cm
0.1,501,49,143.08,13.89
0.186,501,49,143.08,13.89
0.294,501,49,143.09,13.89
0.395,501,49,143.15,13.89
0.486,501,49,143.19,13.89
0.592,501,49,143.23,13.89
0.729,501,49,143.28,13.9
0.824,501,49,143.33,13.9
0.936,501,49,143.38,13.9
1.049,501,49,143.43,13.9
1.175,501,49,143.47,13.9
1.296,501,49,143.5,13.9
1.387,501,49,143.54,13.9
1.466,501,49,143.57,13.9
1.546,501,49,143.59,13.9
1.653,501,49,143.61,13.9
1.767,501,49,143.63,13.9
1.844,501,49,143.63,13.9
1.924,501,49,143.63,13.9
2.046,501,49,143.64,13.9
2.159,501,49,143.68,13.9
2.246,501,49,143.71,13.91
2.393,501,49,143.72,13.91
2.481,501,49,143.72,13.91
2.591,501,49,143.71,13.91
2.711,501,49,143.7,13.91
2.828,501,49,143.68,13.91
2.916,501,49,143.65,13.91
3.062,501,49,143.58,13.91
3.596,501,49,143.45,13.91
4.896,400,49,114.35,13.92
5.258,351,48,100.32,13.64
5.746,288,48,82.31,13.64
5.829,279,49,79.74,13.92
5.916,264,49,75.45,13.92
6.048,250,48,71.45,13.64
6.128,236,49,67.45,13.92
6.213,224,48,64.02,13.64
6.321,211,47,60.3,13.36
6.39,203,48,58.01,13.64
6.493,192,48,54.86,13.64
6.583,183,48,52.3,13.64
6.672,176,48,50.31,13.64
6.748,169,48,48.31,13.65
6.854,163,48,46.6,13.65
6.969,160,48,45.74,13.65
7.049,159,48,45.45,13.64
7.13,159,48,45.45,13.64
7.216,159,48,45.44,13.64
7.324,159,48,45.43,13.64
7.433,160,48,45.71,13.64
7.518,160,48,45.7,13.64
7.622,160,48,45.7,13.64
7.714,160,48,45.71,13.64
7.795,160,48,45.72,13.64
7.883,160,48,45.72,13.64
7.971,160,48,45.73,13.64
8.054,160,48,45.74,13.64
8.156,160,48,45.74,13.64
8.271,160,48,45.75,13.64
8.382,159,49,45.47,13.93
8.453,159,49,45.47,13.93
8.57,160,48,45.76,13.64
8.658,159,49,45.48,13.92
8.738,160,48,45.77,13.63
8.823,160,49,45.77,13.91
8.931,160,48,45.77,13.62
9.068,160,49,45.76,13.9
9.165,160,49,45.76,13.9
9.283,160,49,45.75,13.9
9.39,160,48,45.75,13.61
9.51,160,48,45.75,13.61
9.593,160,48,45.75,13.61
9.734,160,49,45.74,13.9
9.819,160,48,45.74,13.61
9.934,160,48,45.73,13.61
10.072,160,48,45.72,13.61
10.169,160,48,45.72,13.61
10.283,160,48,45.71,13.61
10.409,160,48,45.7,13.6
10.494,159,49,45.41,13.89
10.579,159,49,45.41,13.89
10.676,160,48,45.69,13.61
10.763,160,49,45.68,13.89
10.885,160,49,45.68,13.89
11.002,160,49,45.68,13.89
11.109,160,48,45.68,13.6
11.196,160,48,45.67,13.6
11.304,160,48,45.67,13.6
11.392,160,48,45.66,13.6
11.503,160,48,45.66,13.6
11.596,160,48,45.65,13.61
