t_s,wx,wy,x_cm,y_cm
0.063,487,51,142.04,14.74
0.166,481,52,140.28,15.03
0.268,473,52,137.93,15.03
0.369,465,51,135.59,14.74
0.465,456,50,132.95,14.45
0.567,446,49,130.03,14.16
0.66,440,48,128.26,13.88
0.732,429,47,125.03,13.59
0.832,419,47,122.1,13.59
0.935,409,47,119.2,13.59
1.044,398,46,116.0,13.3
1.142,388,46,113.08,13.31
1.235,377,46,109.88,13.31
1.328,370,46,107.85,13.31
1.431,356,47,103.77,13.6
1.54,346,48,100.86,13.89
1.657,335,49,97.65,14.18
1.834,320,50,93.27,14.48
1.938,312,50,90.93,14.48
2.237,285,46,83.02,13.32
2.327,278,46,80.97,13.31
2.405,268,46,78.04,13.31
2.501,259,45,75.4,13.02
2.603,248,46,72.18,13.31
2.704,238,46,69.26,13.31
2.902,217,47,63.14,13.6
3.002,211,48,61.39,13.89
3.106,201,50,58.47,14.46
3.202,192,50,55.85,14.46
3.333,185,49,53.82,14.18
3.436,172,48,50.04,13.89
3.542,162,48,47.13,13.88
3.664,152,48,44.22,13.88
3.772,139,47,40.43,13.59
