t_s,wx,wy,x_cm,y_cm
0.09,500,51,143.47,14.55
0.202,500,51,143.49,14.55
0.658,500,51,143.57,14.55
0.746,500,51,143.58,14.55
0.859,500,51,143.58,14.55
0.981,500,51,143.57,14.54
1.092,500,51,143.56,14.54
1.181,500,51,143.54,14.54
1.266,500,51,143.52,14.54
1.345,500,51,143.5,14.54
1.417,500,51,143.47,14.53
1.507,500,51,143.43,14.53
1.654,500,51,143.38,14.53
1.75,500,51,143.33,14.52
1.864,500,51,143.28,14.52
1.975,500,51,143.24,14.52
2.045,500,51,143.22,14.52
2.158,500,51,143.2,14.52
2.238,500,51,143.19,14.52
2.333,500,51,143.17,14.52
2.419,500,51,143.15,14.52
2.52,500,51,143.13,14.51
2.661,500,51,143.1,14.51
2.755,501,51,143.36,14.51
2.869,501,51,143.34,14.51
2.979,501,51,143.32,14.51
3.05,501,51,143.3,14.51
3.168,501,51,143.26,14.51
3.238,500,51,142.94,14.5
3.312,500,51,142.9,14.5
3.396,501,51,143.15,14.5
3.475,501,51,143.11,14.5
3.587,501,51,143.09,14.5
3.975,500,52,142.71,14.78
4.318,501,51,142.92,14.5
4.397,500,51,142.61,14.5
4.477,501,51,142.87,14.5
4.588,500,51,142.57,14.5
4.662,500,51,142.55,14.5
4.756,500,51,142.54,14.5
4.842,500,52,142.53,14.78
4.933,499,51,142.23,14.5
5.011,499,51,142.22,14.5
5.123,498,51,141.93,14.5
5.23,498,51,141.93,14.51
5.322,497,51,141.64,14.51
5.398,493,51,140.49,14.51
5.479,490,52,139.62,14.79
5.592,487,52,138.75,14.79
5.703,484,52,137.87,14.79
5.778,482,52,137.29,14.79
5.889,480,52,136.7,14.78
5.98,478,52,136.14,14.78
6.07,475,52,135.29,14.78
6.141,471,52,134.15,14.78
6.231,469,52,133.58,14.79
6.718,452,53,128.72,15.07
8.432,402,50,114.37,14.21
8.538,399,50,113.51,14.21
8.725,393,49,111.8,13.93
10.313,336,46,95.47,13.06
10.387,332,46,94.34,13.06
12.736,256,45,72.82,12.77
12.93,249,46,70.83,13.05
13.007,248,47,70.55,13.34
13.094,245,46,69.69,13.05
13.184,241,46,68.54,13.05
13.275,240,45,68.24,12.77
13.351,237,45,67.38,12.77
13.576,232,46,65.95,13.05
13.657,230,46,65.37,13.05
13.932,222,46,63.08,13.06
14.042,218,47,61.94,13.34
14.121,215,47,61.08,13.34
14.23,212,48,60.22,13.62
14.318,209,48,59.36,13.62
14.398,206,49,58.51,13.9
14.489,203,49,57.65,13.9
14.576,201,50,57.07,14.19
14.661,199,50,56.5,14.18
14.762,196,50,55.65,14.18
14.879,193,50,54.79,14.18
14.988,190,51,53.94,14.47
15.059,188,51,53.37,14.46
15.176,185,51,52.51,14.46
15.257,182,51,51.66,14.46
15.339,180,51,51.09,14.46
15.422,177,51,50.23,14.46
15.533,175,51,49.66,14.46
15.672,171,51,48.53,14.46
15.763,168,52,47.68,14.75
15.88,166,51,47.11,14.47
15.989,164,51,46.54,14.47
16.068,162,52,45.98,14.75
16.175,162,51,45.97,14.47
16.253,162,51,45.97,14.47
16.324,162,51,45.98,14.47
16.414,162,51,45.98,14.47
16.488,163,51,46.27,14.47
16.6,162,51,45.98,14.47
16.706,162,51,45.98,14.47
16.791,162,51,45.98,14.47
16.878,162,51,45.99,14.47
16.989,162,51,45.99,14.47
17.064,162,51,45.99,14.47
17.18,161,51,45.71,14.47
17.253,161,51,45.71,14.47
17.324,161,51,45.72,14.47
17.417,161,51,45.72,14.47
17.492,161,51,45.73,14.47
17.598,161,51,45.74,14.47
17.673,161,51,45.75,14.47
17.769,161,51,45.75,14.47
17.854,161,51,45.76,14.47
17.943,161,51,45.77,14.47
18.026,161,51,45.78,14.47
18.138,161,51,45.79,14.47
18.246,161,51,45.8,14.47
18.333,162,51,46.1,14.48
18.437,161,51,45.83,14.48
18.547,161,51,45.85,14.48
18.658,161,51,45.86,14.49
18.792,161,51,45.87,14.49
18.908,161,51,45.9,14.49
18.998,161,51,45.92,14.5
19.091,161,51,45.93,14.5
19.206,161,51,45.95,14.51
19.344,161,51,45.97,14.51
19.438,162,51,46.26,14.52
19.549,161,51,45.99,14.52
19.659,162,51,46.29,14.52
19.734,162,51,46.29,14.53
19.845,161,51,46.02,14.53
19.939,161,51,46.03,14.53
20.015,161,51,46.04,14.54
20.098,161,51,46.04,14.54
20.21,161,51,46.05,14.54
20.349,161,51,46.07,14.55
20.441,161,51,46.08,14.55
20.554,161,51,46.1,14.56
