timestamp,trial,scale_x_cmpx,scale_y_cmpx,table_w_cm,table_h_cm,camera_gsd_cmpx,warp_w,warp_h,height_cm
2026-08-02T16:18:56,1,0.27439,0.27417,164.6,62.5,0.10885,600,228,140.0
2026-08-02T16:19:04,2,0.27455,0.27380,164.7,62.4,0.10884,600,228,140.0
2026-08-02T16:19:11,3,0.27506,0.27398,165.0,62.5,0.10882,600,228,140.0
2026-08-02T16:22:21,4,0.29223,0.28730,175.3,65.5,0.10470,600,228,130.0
2026-08-02T16:22:32,5,0.29222,0.28762,175.3,65.6,0.10465,600,228,130.0
2026-08-02T16:22:37,6,0.29308,0.28791,175.8,65.6,0.10455,600,228,130.0
2026-08-02T16:26:29,7,0.27223,0.27383,163.3,62.4,0.11088,600,228,146.0
2026-08-02T16:26:38,8,0.27281,0.27436,163.7,62.6,0.11090,600,228,146.0
2026-08-02T16:26:46,9,0.27249,0.27412,163.5,62.5,0.11080,600,228,146.0
