t_s,wx,wy,x_cm,y_cm
0.114,501,49,142.12,13.86
0.226,501,49,142.13,13.86
0.31,501,49,142.13,13.86
0.451,501,49,142.14,13.86
0.547,501,49,142.15,13.86
0.648,501,49,142.15,13.86
0.788,501,49,142.16,13.85
0.896,501,49,142.16,13.85
0.991,501,49,142.16,13.85
1.102,501,49,142.16,13.85
1.225,501,49,142.16,13.85
1.308,501,49,142.15,13.84
1.446,501,49,142.14,13.84
1.517,501,49,142.13,13.84
1.603,501,49,142.13,13.84
1.711,501,49,142.13,13.84
1.825,501,49,142.14,13.84
1.904,501,49,142.14,13.84
1.987,501,49,142.15,13.84
2.107,501,49,142.16,13.84
2.204,501,49,142.18,13.84
2.284,501,49,142.2,13.84
2.368,501,49,142.22,13.84
2.476,501,49,142.24,13.84
2.588,501,49,142.25,13.84
2.668,501,49,142.26,13.83
2.785,501,49,142.26,13.83
2.882,501,49,142.26,13.83
2.968,501,49,142.26,13.83
3.048,501,49,142.26,13.83
3.134,502,49,142.54,13.83
3.352,501,49,142.25,13.84
3.437,501,49,142.24,13.84
4.182,492,50,139.6,14.13
4.348,487,51,138.17,14.42
4.442,485,50,137.6,14.13
4.542,482,49,136.74,13.85
4.654,480,50,136.17,14.14
4.763,477,50,135.32,14.14
7.941,412,48,117.04,13.57
8.02,410,48,116.46,13.57
8.112,409,48,116.17,13.57
8.213,406,48,115.32,13.57
8.326,403,48,114.46,13.57
8.437,401,48,113.89,13.57
8.505,399,48,113.32,13.57
8.574,398,48,113.04,13.57
8.681,396,47,112.47,13.29
8.773,395,47,112.19,13.29
8.851,393,47,111.63,13.29
8.941,391,47,111.05,13.29
9.436,384,46,109.0,13.01
9.795,380,46,107.82,13.01
9.874,379,46,107.52,13.01
9.982,377,46,106.95,13.01
10.827,363,46,102.97,13.01
10.923,362,46,102.69,13.01
11.476,359,45,101.85,12.72
11.581,359,45,101.86,12.72
11.776,359,46,101.86,13.0
12.292,349,45,99.05,12.72
12.779,338,44,95.93,12.44
12.884,335,44,95.09,12.44
12.996,333,44,94.53,12.44
13.298,327,44,92.82,12.45
13.38,325,44,92.24,12.45
13.459,324,44,91.94,12.45
13.547,322,43,91.37,12.17
13.779,320,43,90.79,12.17
13.887,317,43,89.94,12.17
14.111,314,43,89.07,12.17
14.382,311,43,88.16,12.17
15.114,299,43,84.75,12.17
15.301,296,43,83.9,12.17
16.45,280,43,79.39,12.17
16.664,277,43,78.56,12.17
16.85,272,43,77.14,12.17
17.052,269,43,76.3,12.18
17.328,265,43,75.17,12.18
17.461,263,43,74.6,12.18
17.556,261,43,74.02,12.18
17.668,260,43,73.74,12.18
17.965,256,43,72.6,12.18
18.053,254,43,72.04,12.18
18.389,251,43,71.2,12.17
18.465,251,43,71.2,12.17
18.555,251,43,71.2,12.17
18.668,250,43,70.92,12.17
18.78,249,43,70.63,12.17
18.851,247,43,70.06,12.16
18.969,244,44,69.21,12.44
19.053,241,44,68.36,12.44
19.123,239,44,67.79,12.44
19.205,237,44,67.23,12.44
19.281,235,44,66.67,12.44
19.351,233,44,66.1,12.44
19.562,230,44,65.26,12.44
19.652,228,44,64.69,12.43
19.733,228,43,64.69,12.15
20.287,223,44,63.3,12.44
20.393,221,44,62.74,12.44
20.782,211,44,59.91,12.44
20.86,210,43,59.63,12.15
20.954,207,43,58.78,12.15
21.131,205,43,58.21,12.15
21.226,202,44,57.35,12.43
21.337,198,44,56.22,12.43
21.45,195,44,55.36,12.43
21.524,192,43,54.51,12.15
21.606,191,43,54.23,12.15
21.787,187,44,53.09,12.43
21.866,184,44,52.24,12.43
21.957,182,44,51.67,12.43
22.227,176,44,49.97,12.43
22.723,167,44,47.41,12.43
22.806,165,44,46.84,12.43
22.897,163,43,46.27,12.15
22.994,162,43,45.98,12.15
23.148,161,43,45.7,12.15
23.228,160,43,45.42,12.15
23.341,160,43,45.42,12.15
23.453,160,43,45.42,12.15
23.526,160,43,45.42,12.15
23.728,160,43,45.42,12.15
23.832,160,43,45.42,12.15
23.937,160,43,45.43,12.15
24.024,160,43,45.44,12.15
24.129,160,43,45.44,12.15
24.236,160,43,45.44,12.15
24.326,160,43,45.44,12.15
24.405,160,43,45.44,12.15
24.493,160,43,45.44,12.15
24.595,160,43,45.44,12.15
24.71,160,43,45.44,12.15
24.791,160,43,45.45,12.15
24.896,160,43,45.45,12.15
25.008,160,43,45.45,12.15
25.126,160,44,45.45,12.43
25.244,160,43,45.45,12.15
25.338,159,43,45.17,12.15
25.464,160,43,45.45,12.15
25.538,160,43,45.45,12.14
25.631,159,43,45.17,12.14
25.713,159,43,45.17,12.14
25.798,159,43,45.17,12.14
25.901,160,43,45.46,12.14
26.016,160,43,45.46,12.13
26.137,160,43,45.46,12.13
26.247,160,43,45.47,12.13
26.337,160,43,45.47,12.13
26.478,160,43,45.47,12.13
26.568,160,43,45.46,12.12
