t_s,wx,wy,x_cm,y_cm
0.125,425,194,117.4,53.6
0.451,448,194,123.73,53.59
0.873,454,194,125.38,53.59
0.953,453,194,125.1,53.59
1.041,453,194,125.1,53.59
2.067,457,196,126.18,54.16
2.173,457,196,126.18,54.16
2.643,458,195,126.44,53.89
2.719,458,195,126.44,53.89
3.065,458,195,126.45,53.89
3.451,458,195,126.55,53.88
3.543,458,195,126.58,53.88
3.641,458,195,126.6,53.88
3.798,458,195,126.64,53.87
5.117,458,195,126.68,53.86
5.196,458,196,126.67,54.13
5.388,458,195,126.66,53.85
9.205,507,192,139.94,53.07
9.867,552,195,152.41,53.92
9.981,556,196,153.51,54.2
10.059,558,196,154.06,54.2
10.232,564,194,155.7,53.64
10.573,575,188,158.71,51.96
10.687,578,184,159.55,50.85
10.793,582,182,160.67,50.3
10.869,584,178,161.24,49.19
10.988,586,174,161.81,48.09
11.067,588,171,162.37,47.26
11.167,589,165,162.66,45.6
11.36,591,156,163.23,43.11
11.449,592,151,163.51,41.73
11.529,592,144,163.52,39.79
11.64,592,136,163.52,37.57
11.752,592,128,163.52,35.36
11.835,591,119,163.25,32.87
11.937,591,111,163.25,30.65
12.004,591,105,163.25,28.99
12.14,590,97,162.98,26.78
12.238,590,85,163.0,23.47
12.346,590,77,163.03,21.26
12.454,590,71,163.06,19.6
12.532,592,63,163.64,17.39
12.648,590,64,163.11,17.67
12.727,590,61,163.13,16.84
12.814,589,58,162.87,16.01
12.894,585,55,161.78,15.18
13.884,550,34,152.11,9.38
13.961,543,33,150.17,9.1
14.18,532,32,147.12,8.83
14.262,528,32,146.01,8.83
14.35,527,32,145.73,8.83
14.46,525,32,145.18,8.83
14.538,524,32,144.9,8.83
14.65,522,33,144.34,9.11
14.729,522,33,144.34,9.11
14.805,522,33,144.33,9.11
14.892,522,32,144.32,8.83
14.964,522,33,144.31,9.11
15.076,522,33,144.3,9.11
15.188,521,32,144.02,8.83
15.263,519,31,143.46,8.56
15.46,515,31,142.34,8.56
15.54,513,32,141.78,8.83
15.73,509,33,140.67,9.11
15.806,509,33,140.68,9.11
15.89,508,35,140.42,9.67
15.967,506,36,139.87,9.94
16.078,504,37,139.32,10.22
16.191,502,39,138.77,10.77
16.265,500,40,138.22,11.05
16.379,498,40,137.67,11.05
16.463,498,40,137.67,11.05
16.544,496,40,137.12,11.05
16.629,492,40,136.02,11.05
16.72,489,39,135.19,10.77
16.811,486,39,134.36,10.77
16.907,477,37,131.87,10.22
17.017,469,37,129.65,10.22
17.203,452,34,124.95,9.39
17.316,447,34,123.56,9.39
17.396,442,33,122.17,9.11
17.501,437,33,120.78,9.11
17.614,427,34,118.02,9.39
17.723,419,34,115.8,9.39
17.812,411,33,113.59,9.11
17.916,402,33,111.1,9.11
18.021,392,33,108.33,9.11
18.127,383,33,105.84,9.11
18.208,374,33,103.35,9.11
18.319,365,33,100.86,9.11
18.398,358,33,98.92,9.11
18.467,354,33,97.82,9.11
18.551,346,33,95.6,9.12
18.64,338,33,93.39,9.12
18.743,332,32,91.72,8.84
18.912,319,33,88.12,9.12
19.026,310,33,85.63,9.12
19.129,302,34,83.41,9.4
19.211,293,34,80.92,9.4
19.322,285,35,78.71,9.67
19.509,268,36,74.0,9.95
20.692,177,33,48.86,9.12
22.22,156,34,43.07,9.39
