t_s,wx,wy,x_cm,y_cm
0.12,515,48,146.76,13.56
0.207,515,48,146.79,13.56
0.292,515,48,146.82,13.56
0.405,515,48,146.85,13.56
0.519,515,48,146.88,13.56
0.64,515,48,146.9,13.56
0.725,515,48,146.92,13.56
0.809,515,48,146.96,13.56
0.9,515,48,146.99,13.56
0.994,515,48,147.02,13.56
1.101,515,48,147.03,13.56
1.199,515,48,147.05,13.56
1.295,515,48,147.07,13.56
1.405,515,48,147.08,13.56
1.521,515,48,147.11,13.56
1.639,515,48,147.13,13.56
1.73,515,48,147.16,13.57
1.858,515,48,147.19,13.57
1.934,515,48,147.21,13.57
2.023,515,48,147.22,13.57
2.103,515,48,147.21,13.57
2.199,515,48,147.2,13.57
2.294,515,48,147.18,13.57
2.407,515,48,147.15,13.57
2.519,515,49,147.13,13.86
2.641,515,48,147.1,13.57
2.724,515,48,147.07,13.57
2.865,515,48,147.04,13.57
2.954,515,48,147.0,13.57
3.063,515,48,146.96,13.57
3.206,515,48,146.94,13.57
3.296,515,48,146.9,13.57
3.406,515,48,146.87,13.57
3.52,515,48,146.84,13.57
3.623,515,48,146.83,13.58
3.703,515,48,146.82,13.58
3.79,515,48,146.83,13.58
3.895,515,48,146.82,13.58
4.004,515,48,146.81,13.58
4.087,515,48,146.78,13.58
4.196,515,48,146.76,13.58
4.301,515,49,146.75,13.87
4.388,515,49,146.73,13.87
4.469,515,48,146.73,13.58
4.857,515,49,146.7,13.87
5.958,514,49,146.31,13.87
6.961,495,49,140.82,13.88
7.188,490,49,139.36,13.88
7.256,487,49,138.49,13.88
7.371,484,49,137.62,13.88
7.561,477,49,135.6,13.88
9.671,392,49,111.21,13.87
9.923,380,49,107.8,13.87
10.034,375,49,106.38,13.87
10.266,364,48,103.27,13.59
10.36,359,48,101.86,13.59
10.436,356,48,101.01,13.6
10.741,345,47,97.89,13.32
10.855,342,48,97.04,13.6
10.93,339,48,96.18,13.6
11.632,307,49,87.13,13.89
13.711,211,46,59.92,13.04
14.0,202,45,57.36,12.76
14.411,187,44,53.09,12.47
14.521,184,44,52.24,12.47
14.717,177,44,50.24,12.47
15.407,160,45,45.43,12.75
15.476,160,45,45.43,12.75
15.713,161,45,45.72,12.75
15.795,161,45,45.72,12.75
16.029,161,45,45.71,12.75
16.135,161,45,45.71,12.75
16.22,161,45,45.73,12.75
16.305,160,45,45.46,12.75
16.411,160,45,45.47,12.75
16.527,160,45,45.48,12.75
16.599,160,45,45.48,12.75
16.721,161,45,45.77,12.75
16.796,161,45,45.77,12.75
16.9,161,45,45.78,12.75
17.014,160,46,45.49,13.03
17.101,161,46,45.77,13.03
17.198,160,46,45.49,13.02
17.318,160,46,45.49,13.02
17.403,160,46,45.49,13.02
17.485,160,46,45.49,13.01
17.573,160,46,45.49,13.01
17.677,160,46,45.49,13.01
17.79,160,46,45.49,13.01
17.878,160,45,45.49,12.73
17.979,160,46,45.48,13.01
18.091,160,46,45.48,13.01
18.204,161,45,45.76,12.72
18.324,161,46,45.75,13.01
18.407,161,45,45.74,12.72
18.548,160,46,45.45,13.01
18.649,160,46,45.45,13.0
18.745,160,46,45.45,13.0
18.884,161,46,45.73,13.0
18.978,161,45,45.72,12.72
19.095,161,45,45.72,12.72
19.206,160,46,45.43,13.0
19.325,161,45,45.71,12.72
19.409,160,46,45.42,13.0
19.542,160,46,45.43,13.0
19.643,160,46,45.43,13.0
19.747,160,46,45.44,13.01
19.88,161,45,45.73,12.72
19.987,161,46,45.73,13.01
20.093,161,45,45.74,12.73
20.21,161,46,45.74,13.01
20.323,160,46,45.46,13.02
20.416,160,46,45.46,13.02
20.559,160,46,45.46,13.02
20.642,161,45,45.74,12.74
20.751,160,46,45.46,13.02
20.883,161,46,45.74,13.03
