t_s,wx,wy,x_cm,y_cm
0.13,464,50,134.8,14.43
0.227,453,52,131.63,15.01
0.331,445,52,129.31,15.01
0.464,436,51,126.7,14.72
0.562,424,50,123.23,14.43
0.669,415,50,120.63,14.43
0.804,406,49,118.01,14.14
0.895,393,49,114.23,14.14
0.994,384,49,111.61,14.14
1.124,375,49,108.99,14.14
1.195,366,49,106.36,14.14
1.304,356,49,103.45,14.14
1.398,347,49,100.83,14.14
1.505,337,49,97.91,14.14
1.596,329,50,95.56,14.43
1.796,317,51,92.03,14.72
2.128,290,49,84.15,14.15
2.233,278,48,80.66,13.86
2.336,269,48,78.04,13.86
2.465,260,48,75.42,13.86
2.566,248,49,71.94,14.14
2.664,240,49,69.61,14.14
2.81,233,50,67.58,14.43
2.895,223,50,64.67,14.43
3.132,206,49,59.74,14.15
3.239,195,48,56.55,13.86
3.332,186,47,53.94,13.57
3.465,177,47,51.33,13.57
3.567,165,47,47.85,13.57
3.665,156,47,45.25,13.57
3.805,148,47,42.93,13.57
