t_s,wx,wy,x_cm,y_cm
0.423,479,46,139.9,13.37
0.899,452,49,132.04,14.24
0.993,449,50,131.18,14.52
1.087,443,50,129.42,14.52
1.421,425,51,124.16,14.81
1.538,420,51,122.7,14.81
2.186,386,49,112.74,14.22
2.306,381,49,111.28,14.22
3.434,327,50,95.58,14.51
3.559,321,49,93.83,14.22
3.65,318,49,92.96,14.22
3.744,312,49,91.2,14.22
3.859,307,49,89.73,14.22
4.005,302,48,88.26,13.93
4.143,293,49,85.62,14.22
4.263,287,49,83.87,14.22
4.39,281,49,82.11,14.22
4.495,277,49,80.94,14.22
4.664,271,49,79.18,14.22
4.796,265,49,77.42,14.22
4.923,259,49,75.66,14.22
5.034,255,49,74.5,14.22
5.156,249,49,72.74,14.22
5.263,244,49,71.28,14.22
5.5,233,49,68.06,14.22
5.798,218,49,63.68,14.22
5.933,212,49,61.93,14.22
6.163,202,50,59.01,14.51
6.268,197,50,57.55,14.51
6.394,191,49,55.8,14.22
6.669,180,49,52.59,14.22
6.804,173,49,50.54,14.22
6.93,167,50,48.79,14.51
7.042,163,49,47.62,14.22
7.16,156,49,45.58,14.22
7.276,151,49,44.12,14.22
7.398,145,49,42.36,14.22
