t_s,wx,wy,x_cm,y_cm
0.099,459,47,133.7,13.56
0.195,448,48,130.49,13.85
0.327,438,49,127.55,14.14
0.428,425,50,123.73,14.43
0.526,416,51,121.09,14.72
0.665,408,52,118.74,15.01
0.763,398,52,115.81,15.0
0.859,389,51,113.2,14.72
0.999,381,50,110.87,14.43
1.095,369,50,107.38,14.42
1.193,360,48,104.76,13.85
1.323,352,49,102.44,14.13
1.426,340,48,98.95,13.84
1.53,331,48,96.34,13.84
1.664,322,48,93.73,13.84
1.998,290,47,84.4,13.56
2.095,278,46,80.9,13.27
2.194,269,46,78.28,13.27
2.329,260,47,75.65,13.56
2.427,247,48,71.86,13.85
2.533,238,48,69.24,13.85
2.663,231,49,67.19,14.14
2.761,223,50,64.86,14.43
2.862,216,49,62.82,14.14
2.995,208,49,60.48,14.14
3.095,197,49,57.28,14.14
3.198,189,48,54.95,13.85
3.331,180,48,52.33,13.85
3.432,169,48,49.13,13.85
3.535,159,48,46.22,13.85
3.694,150,48,43.61,13.85
3.797,136,48,39.54,13.85
