t_s,wx,wy,x_cm,y_cm
0.078,487,49,147.32,14.82
0.165,487,49,147.32,14.82
0.251,487,49,147.32,14.82
0.346,487,49,147.32,14.82
0.437,487,49,147.32,14.82
0.522,487,49,147.32,14.82
0.606,487,49,147.32,14.82
0.692,487,49,147.32,14.82
0.778,487,49,147.32,14.82
0.864,487,49,147.32,14.82
0.951,487,49,147.32,14.82
1.047,487,49,147.32,14.82
1.216,487,49,147.32,14.82
1.299,487,49,147.32,14.82
1.385,487,49,147.32,14.82
1.471,487,49,147.32,14.82
1.556,487,49,147.32,14.82
1.64,487,49,147.32,14.82
1.733,487,49,147.32,14.82
1.814,487,49,147.32,14.82
1.896,487,49,147.32,14.82
1.98,487,48,147.32,14.52
2.061,487,49,147.32,14.82
2.143,487,49,147.32,14.82
2.225,487,49,147.32,14.82
2.307,487,49,147.32,14.82
2.399,487,49,147.32,14.82
2.48,487,49,147.32,14.82
2.561,487,49,147.32,14.82
2.643,487,49,147.32,14.82
2.724,487,49,147.32,14.82
2.805,487,49,147.32,14.82
2.885,487,49,147.32,14.82
2.965,487,49,147.32,14.82
3.055,487,49,147.32,14.82
3.132,487,48,147.32,14.52
3.211,487,48,147.32,14.52
3.289,487,48,147.32,14.52
3.366,487,48,147.32,14.52
3.442,487,48,147.32,14.52
3.517,487,48,147.32,14.52
3.592,487,48,147.32,14.52
3.676,487,48,147.32,14.52
3.748,487,48,147.32,14.52
3.822,487,48,147.32,14.52
3.895,487,48,147.32,14.52
4.042,487,48,147.32,14.52
4.117,487,49,147.32,14.82
4.191,486,49,147.01,14.82
4.275,486,49,147.01,14.82
4.348,485,49,146.71,14.82
4.423,484,49,146.41,14.82
4.497,482,49,145.81,14.82
4.571,480,49,145.2,14.82
4.645,479,49,144.9,14.82
4.718,476,49,143.99,14.82
4.794,475,49,143.69,14.82
4.876,473,49,143.08,14.82
4.957,471,49,142.48,14.82
5.033,469,49,141.87,14.82
5.107,467,49,141.27,14.82
5.184,464,49,140.36,14.82
5.259,463,49,140.06,14.82
5.333,461,49,139.45,14.82
5.408,459,49,138.85,14.82
5.493,457,49,138.24,14.82
5.567,454,49,137.34,14.82
5.642,454,49,137.34,14.82
5.717,450,48,136.12,14.52
5.794,450,48,136.12,14.52
5.87,446,48,134.91,14.52
5.947,445,48,134.61,14.52
6.106,441,48,133.4,14.52
6.187,440,48,133.1,14.52
6.264,438,48,132.5,14.52
6.34,437,48,132.19,14.52
6.416,435,48,131.59,14.52
6.492,434,48,131.28,14.52
6.731,429,49,129.77,14.82
6.806,428,49,129.47,14.82
6.881,426,49,128.87,14.82
6.958,425,49,128.56,14.82
7.033,421,49,127.35,14.82
7.11,419,49,126.75,14.82
7.189,416,48,125.84,14.52
7.349,412,48,124.63,14.52
7.423,409,48,123.72,14.52
7.574,406,48,122.81,14.52
