t_s,wx,wy,x_cm,y_cm
0.104,499,50,142.23,14.15
0.218,499,49,142.26,13.87
0.34,499,49,142.29,13.87
0.42,499,50,142.33,14.15
0.562,499,50,142.36,14.15
0.655,499,50,142.38,14.15
0.773,499,50,142.41,14.16
0.905,499,50,142.44,14.16
0.999,499,49,142.46,13.87
1.087,499,50,142.48,14.16
1.173,499,49,142.5,13.88
1.252,499,50,142.51,14.16
1.359,499,50,142.53,14.16
1.471,499,50,142.55,14.16
1.561,499,50,142.57,14.16
1.654,499,50,142.6,14.16
1.771,499,50,142.64,14.16
1.883,499,50,142.68,14.16
2.002,499,50,142.73,14.16
2.085,499,50,142.77,14.16
2.169,499,49,142.8,13.87
2.25,499,49,142.81,13.87
2.36,499,49,142.81,13.87
2.472,499,49,142.8,13.87
2.557,499,49,142.78,13.87
2.656,499,49,142.75,13.87
2.774,499,49,142.71,13.87
2.883,499,49,142.67,13.87
3.005,499,49,142.64,13.87
3.084,499,49,142.61,13.87
3.218,499,49,142.58,13.87
3.299,499,49,142.55,13.87
3.467,499,50,142.52,14.15
3.554,499,50,142.51,14.15
3.882,499,49,142.45,13.87
3.998,499,50,142.42,14.16
4.069,499,50,142.38,14.15
4.149,499,50,142.33,14.15
4.222,499,50,142.28,14.15
4.384,498,50,141.91,14.14
4.555,497,50,141.54,14.14
4.661,496,50,141.23,14.14
4.77,495,50,140.92,14.14
4.881,497,50,141.46,14.14
5.229,493,51,140.26,14.42
5.298,492,50,139.96,14.14
5.375,491,51,139.67,14.42
5.448,489,51,139.09,14.43
5.56,488,50,138.8,14.14
5.832,484,50,137.66,14.15
5.917,482,50,137.09,14.15
6.023,481,50,136.81,14.15
6.133,479,47,136.23,13.3
6.235,479,50,136.23,14.16
6.327,477,50,135.65,14.16
6.433,475,49,135.06,13.88
6.545,474,49,134.75,13.88
6.619,472,49,134.16,13.88
6.732,470,49,133.58,13.88
6.817,469,49,133.29,13.88
6.905,468,49,133.0,13.88
6.983,466,49,132.42,13.88
7.092,465,49,132.14,13.88
7.248,463,49,131.56,13.88
7.321,461,49,130.99,13.88
7.437,459,49,130.41,13.88
7.547,458,49,130.12,13.88
7.621,457,49,129.84,13.88
7.734,457,49,129.85,13.88
7.818,457,49,129.86,13.88
7.902,457,49,129.86,13.88
7.985,456,49,129.59,13.88
8.095,456,49,129.6,13.88
8.25,456,49,129.6,13.88
8.328,456,49,129.6,13.88
8.437,456,49,129.59,13.88
8.554,455,49,129.31,13.88
8.669,455,50,129.3,14.16
8.752,454,50,129.02,14.16
8.9,453,50,128.71,14.16
8.97,452,50,128.4,14.17
9.335,447,49,126.89,13.88
14.259,365,49,103.87,13.9
14.365,363,49,103.28,13.9
15.093,353,48,100.37,13.61
15.897,340,49,96.67,13.89
16.246,334,50,94.95,14.17
18.931,277,52,78.73,14.74
19.038,275,52,78.15,14.74
19.246,271,52,77.01,14.74
19.334,268,52,76.16,14.74
19.447,265,52,75.3,14.74
19.557,264,52,75.02,14.74
19.633,261,52,74.17,14.74
19.744,260,52,73.88,14.75
20.106,252,52,71.61,14.75
20.243,250,52,71.04,14.75
21.109,233,52,66.19,14.75
21.26,231,52,65.63,14.75
21.34,228,52,64.77,14.75
21.452,226,52,64.21,14.75
21.562,223,53,63.36,15.03
21.638,220,53,62.51,15.03
21.752,217,53,61.66,15.03
21.938,212,52,60.23,14.75
22.052,210,53,59.66,15.03
22.134,207,52,58.81,14.75
22.262,204,53,57.96,15.03
22.436,199,53,56.54,15.03
22.519,199,52,56.54,14.75
22.706,195,53,55.4,15.03
22.821,193,53,54.83,15.03
22.981,191,53,54.25,15.04
23.069,191,52,54.25,14.75
23.18,190,52,53.97,14.75
23.291,189,52,53.68,14.75
23.375,186,52,52.83,14.75
23.473,184,52,52.26,14.75
23.567,182,52,51.69,14.75
23.644,181,52,51.41,14.75
23.732,180,51,51.13,14.47
23.82,178,51,50.56,14.47
23.912,176,51,50.0,14.47
24.006,174,51,49.42,14.46
24.119,172,51,48.85,14.46
24.244,171,51,48.57,14.46
24.354,168,51,47.71,14.47
24.437,166,51,47.15,14.47
24.577,163,50,46.29,14.18
24.65,161,50,45.73,14.18
24.736,160,50,45.44,14.19
24.818,160,50,45.44,14.19
24.918,160,50,45.45,14.19
25.011,160,50,45.45,14.19
25.123,162,49,46.02,13.9
25.242,160,49,45.46,13.9
25.357,161,49,45.75,13.9
25.436,161,49,45.75,13.9
25.577,160,50,45.48,14.18
25.652,161,49,45.79,13.9
25.742,161,49,45.83,13.9
25.845,161,49,45.86,13.91
25.954,161,49,45.89,13.91
26.036,160,49,45.63,13.92
26.117,161,49,45.94,13.92
26.253,161,49,45.95,13.92
26.336,161,49,45.97,13.92
26.422,161,49,45.97,13.92
26.514,161,49,45.98,13.92
26.611,161,49,45.98,13.92
26.733,160,49,45.7,13.92
26.807,160,49,45.71,13.92
26.907,160,49,45.71,13.91
27.022,160,49,45.7,13.91
27.109,161,49,45.99,13.91
27.195,160,49,45.7,13.91
