t_s,wx,wy,x_cm,y_cm
0.095,486,48,141.75,13.9
0.186,479,49,139.71,14.19
0.29,472,49,137.68,14.19
0.389,467,51,136.23,14.77
0.488,463,52,135.06,15.06
0.585,454,51,132.45,14.77
0.686,446,51,130.12,14.77
0.811,440,51,128.38,14.77
0.889,433,50,126.35,14.48
0.985,427,50,124.6,14.48
1.082,420,49,122.56,14.18
1.189,413,49,120.53,14.18
1.286,406,49,118.48,14.18
1.395,398,49,116.15,14.18
1.488,393,49,114.71,14.18
1.592,384,49,112.1,14.18
1.685,377,49,110.07,14.18
1.82,370,49,108.03,14.18
1.92,360,49,105.13,14.18
2.023,353,48,103.1,13.89
2.257,336,49,98.15,14.18
2.356,329,49,96.11,14.18
2.486,321,49,93.78,14.18
2.589,311,49,90.86,14.18
2.988,289,50,84.44,14.47
3.101,283,49,82.68,14.18
3.189,277,49,80.93,14.18
3.294,271,49,79.17,14.18
3.39,264,49,77.13,14.18
3.484,260,50,75.96,14.47
3.591,252,50,73.62,14.47
3.689,247,50,72.16,14.47
3.824,241,50,70.41,14.47
3.922,234,49,68.37,14.18
4.026,228,49,66.61,14.18
4.152,221,49,64.57,14.18
4.257,213,48,62.23,13.89
4.355,206,48,60.19,13.89
4.493,200,49,58.43,14.18
4.589,192,50,56.1,14.48
4.691,186,50,54.35,14.48
4.828,180,50,52.6,14.48
4.924,172,50,50.26,14.48
5.025,164,49,47.93,14.19
5.157,158,49,46.17,14.19
5.259,150,48,43.84,13.9
5.367,143,48,41.8,13.9
