t_s,wx,wy,x_cm,y_cm
0.103,501,47,143.14,13.36
0.182,501,47,143.15,13.36
0.293,501,47,143.17,13.36
0.372,501,47,143.19,13.36
0.468,501,47,143.22,13.36
0.603,501,47,143.26,13.36
0.715,501,47,143.29,13.36
0.83,501,47,143.31,13.36
0.953,501,47,143.33,13.36
1.065,501,47,143.35,13.36
1.186,501,47,143.36,13.35
1.294,501,47,143.36,13.35
1.376,501,47,143.36,13.35
1.455,501,47,143.36,13.35
1.541,501,47,143.35,13.35
1.654,501,47,143.35,13.35
1.764,501,47,143.39,13.35
1.838,501,48,143.47,13.64
1.949,501,48,143.58,13.65
2.059,501,48,143.7,13.66
2.144,501,47,143.82,13.38
2.246,501,48,143.94,13.68
2.36,501,47,144.05,13.4
2.466,501,47,144.14,13.41
2.544,501,47,144.23,13.41
2.656,501,47,144.29,13.42
2.765,501,47,144.34,13.43
2.843,501,47,144.38,13.43
2.954,501,47,144.39,13.44
3.037,502,47,144.68,13.44
3.205,501,47,144.35,13.44
3.66,501,48,144.21,13.73
3.766,501,48,144.17,13.73
3.846,501,47,144.12,13.44
3.958,501,47,144.08,13.44
4.037,501,48,144.04,13.73
4.11,500,48,143.72,13.72
4.189,500,48,143.68,13.72
4.269,500,48,143.65,13.72
4.38,500,48,143.61,13.72
4.469,500,48,143.58,13.72
4.547,493,48,141.53,13.72
4.662,484,49,138.91,14.0
6.039,204,52,58.22,14.82
6.109,197,53,56.21,15.1
6.213,175,54,49.92,15.39
6.326,165,54,47.05,15.38
6.448,159,54,45.33,15.38
6.558,159,54,45.32,15.38
6.637,160,54,45.59,15.37
6.767,159,55,45.3,15.66
6.855,160,55,45.58,15.66
6.944,159,54,45.29,15.37
7.03,159,54,45.28,15.37
7.113,159,54,45.28,15.37
7.216,159,54,45.28,15.37
7.326,159,54,45.28,15.37
7.45,159,54,45.27,15.37
7.56,158,55,44.99,15.65
7.639,158,55,44.99,15.65
7.784,159,54,45.27,15.36
7.857,159,54,45.27,15.36
7.943,159,54,45.27,15.36
8.053,159,54,45.27,15.35
8.161,159,54,45.27,15.35
8.244,159,54,45.28,15.35
8.34,157,55,44.71,15.63
8.457,159,54,45.28,15.35
8.57,159,54,45.28,15.34
8.647,159,54,45.29,15.34
8.793,159,54,45.29,15.35
8.884,158,55,45.01,15.63
8.996,158,55,45.01,15.63
9.134,159,54,45.31,15.35
9.238,159,54,45.33,15.36
9.358,159,54,45.34,15.36
9.465,158,55,45.07,15.65
9.548,159,54,45.36,15.37
9.639,158,55,45.08,15.65
