t_s,wx,wy,x_cm,y_cm
0.071,500,49,143.02,13.94
0.195,500,49,143.03,13.94
0.336,500,49,143.04,13.94
0.426,500,49,143.05,13.94
0.513,500,49,143.05,13.94
0.601,501,49,143.34,13.94
0.679,501,49,143.34,13.94
0.792,501,49,143.34,13.94
0.899,501,49,143.34,13.94
0.992,501,49,143.34,13.94
1.072,500,49,143.05,13.94
1.15,500,49,143.04,13.94
1.26,500,49,143.04,13.94
1.373,500,49,143.03,13.94
1.452,500,49,143.02,13.93
1.558,500,49,143.01,13.93
1.644,500,49,143.01,13.93
1.721,501,49,143.31,13.93
1.807,500,49,143.03,13.93
1.897,500,49,143.04,13.93
1.99,500,49,143.05,13.93
2.082,500,49,143.06,13.93
2.195,500,49,143.07,13.93
2.301,500,49,143.08,13.93
2.382,500,49,143.1,13.93
2.491,500,49,143.11,13.93
2.575,501,49,143.41,13.93
2.668,501,49,143.42,13.93
2.743,501,49,143.43,13.93
2.854,500,49,143.15,13.94
2.999,500,49,143.14,13.94
3.088,500,49,143.13,13.93
3.196,501,49,143.39,13.93
3.305,501,49,143.36,13.93
3.645,501,50,143.21,14.21
3.916,500,49,142.84,13.92
3.992,500,50,142.82,14.2
4.089,500,50,142.79,14.2
4.201,500,50,142.77,14.2
4.307,500,49,142.74,13.92
4.387,499,49,142.43,13.92
4.499,499,49,142.4,13.92
4.583,497,50,141.8,14.2
4.686,492,48,140.35,13.63
4.797,489,50,139.46,14.2
4.878,485,51,138.3,14.49
4.999,483,51,137.7,14.49
5.648,461,51,131.34,14.49
5.868,454,51,129.33,14.5
7.245,417,51,118.78,14.51
7.314,417,51,118.78,14.51
8.247,391,50,111.36,14.22
8.545,384,50,109.36,14.21
8.759,379,49,107.92,13.93
8.871,375,49,106.77,13.92
10.426,338,49,96.16,13.91
10.646,333,48,94.73,13.63
10.721,331,48,94.17,13.63
13.078,270,49,76.97,13.93
13.155,269,50,76.68,14.22
13.567,260,50,74.09,14.21
13.651,258,49,73.51,13.93
13.731,257,49,73.22,13.93
13.845,254,50,72.36,14.21
13.998,249,50,70.92,14.21
14.082,247,49,70.35,13.92
14.269,242,50,68.94,14.21
14.383,240,48,68.38,13.64
14.655,231,49,65.83,13.92
14.908,225,49,64.13,13.92
15.009,223,49,63.56,13.92
15.209,216,49,61.57,13.93
15.319,213,50,60.71,14.21
15.394,212,49,60.43,13.93
15.505,209,49,59.57,13.93
15.59,208,49,59.29,13.93
15.68,206,49,58.73,13.93
15.766,203,49,57.88,13.93
15.865,200,49,57.04,13.93
16.012,197,48,56.19,13.65
16.097,193,48,55.05,13.65
16.21,191,48,54.49,13.65
16.319,188,47,53.63,13.37
16.397,185,47,52.78,13.37
16.509,183,47,52.23,13.37
16.593,180,46,51.38,13.09
16.759,176,46,50.26,13.1
16.87,172,45,49.12,12.81
17.016,170,45,48.55,12.81
17.1,168,42,47.98,11.96
17.215,166,45,47.41,12.82
17.32,164,44,46.84,12.53
17.511,164,44,46.83,12.53
17.592,163,44,46.53,12.53
17.743,163,44,46.51,12.52
18.046,163,44,46.48,12.52
18.232,162,42,46.18,11.95
18.32,162,42,46.18,11.95
18.515,162,42,46.18,11.95
18.593,162,42,46.17,11.95
18.989,162,42,46.16,11.94
19.061,162,42,46.16,11.94
19.18,162,42,46.16,11.94
19.253,162,42,46.16,11.93
19.347,162,42,46.16,11.93
19.537,162,42,46.17,11.93
19.671,162,42,46.17,11.93
19.77,162,42,46.17,11.93
19.887,162,43,46.18,12.21
19.995,162,43,46.18,12.21
20.068,162,43,46.19,12.21
20.186,162,43,46.19,12.21
20.262,161,43,45.91,12.21
20.351,162,43,46.2,12.21
20.438,161,43,45.92,12.21
20.541,161,43,45.93,12.21
20.776,161,43,45.94,12.21
20.892,161,43,45.94,12.21
21.126,161,43,45.94,12.21
21.346,161,43,45.94,12.21
21.437,161,43,45.94,12.21
21.546,161,43,45.93,12.21
21.695,161,43,45.93,12.21
21.778,161,43,45.94,12.21
21.957,161,43,45.94,12.21
22.081,161,43,45.94,12.21
