t_s,wx,wy,x_cm,y_cm
0.08,482,46,141.36,13.29
0.173,475,46,139.3,13.29
0.251,471,46,138.12,13.29
0.33,465,47,136.35,13.58
0.429,457,48,133.99,13.87
0.531,450,49,131.92,14.17
0.628,444,50,130.16,14.46
0.735,439,51,128.68,14.75
0.839,434,51,127.21,14.75
0.943,430,51,126.03,14.75
1.031,421,51,123.39,14.75
1.13,415,51,121.64,14.75
1.223,411,51,120.47,14.75
1.334,402,51,117.83,14.76
1.432,396,51,116.08,14.76
1.534,389,51,114.02,14.76
1.64,384,52,112.56,15.05
1.729,379,52,111.1,15.05
1.831,374,52,109.64,15.05
1.937,370,51,108.48,14.76
2.032,362,51,106.14,14.76
2.13,356,51,104.39,14.76
2.261,349,50,102.34,14.48
2.365,341,51,100.0,14.77
2.472,335,51,98.24,14.77
2.704,322,51,94.44,14.77
2.8,317,51,92.99,14.77
2.933,311,50,91.24,14.48
3.263,291,49,85.36,14.19
3.425,279,50,81.83,14.48
3.497,275,50,80.66,14.48
3.593,273,50,80.06,14.48
3.666,268,50,78.59,14.48
3.767,262,50,76.82,14.48
3.862,256,50,75.05,14.48
3.932,253,49,74.16,14.19
4.035,246,50,72.1,14.47
4.134,241,49,70.63,14.18
4.266,234,49,68.57,14.18
4.367,226,50,66.21,14.47
4.473,222,50,65.03,14.47
4.599,217,50,63.55,14.47
4.703,210,49,61.49,14.18
4.801,205,49,60.01,14.18
5.0,193,49,56.48,14.17
5.1,187,49,54.72,14.17
5.201,181,49,52.96,14.17
5.302,175,49,51.2,14.17
5.401,169,50,49.44,14.46
5.5,164,50,47.97,14.46
5.594,160,51,46.8,14.75
5.673,155,50,45.33,14.46
5.768,149,50,43.57,14.46
