t_s,wx,wy,x_cm,y_cm
0.105,500,49,142.74,13.94
0.193,500,49,142.81,13.94
0.29,500,49,142.87,13.94
0.402,500,49,142.94,13.94
0.537,500,49,142.99,13.94
0.639,500,49,143.05,13.94
0.745,500,49,143.09,13.94
0.852,500,49,143.14,13.94
0.969,500,49,143.21,13.94
1.058,500,49,143.27,13.94
1.193,500,49,143.32,13.95
1.267,500,49,143.36,13.95
1.351,500,49,143.38,13.94
1.449,500,49,143.4,13.94
1.53,500,49,143.42,13.94
1.628,500,49,143.46,13.95
1.745,500,49,143.5,13.95
1.855,500,49,143.53,13.95
1.922,500,49,143.55,13.95
2.039,500,49,143.55,13.95
2.115,500,49,143.56,13.95
2.202,500,49,143.57,13.95
2.285,500,49,143.57,13.95
2.399,500,49,143.56,13.95
2.539,500,49,143.53,13.95
2.629,500,49,143.49,13.94
2.745,500,49,143.45,13.94
2.857,500,49,143.4,13.94
2.926,500,49,143.35,13.94
3.044,500,49,143.3,13.94
3.119,500,48,143.25,13.65
3.191,500,48,143.2,13.65
3.272,500,48,143.15,13.65
3.353,501,49,143.4,13.93
3.466,501,49,143.36,13.93
3.538,500,49,143.04,13.93
3.64,500,49,142.99,13.93
3.725,501,49,143.23,13.93
4.589,500,49,142.79,13.94
4.701,500,49,142.79,13.94
4.81,500,49,142.78,13.94
4.899,500,49,142.77,13.94
5.11,499,49,142.45,13.95
5.783,442,51,126.08,14.52
7.199,257,49,73.32,13.95
7.298,242,50,69.03,14.24
7.594,196,53,55.88,15.09
7.712,182,54,51.88,15.37
7.787,170,52,48.45,14.8
7.867,167,52,47.58,14.8
7.948,161,51,45.86,14.51
8.024,159,50,45.29,14.22
8.136,161,50,45.85,14.22
8.248,159,50,45.28,14.22
8.322,159,50,45.28,14.22
8.398,159,50,45.28,14.22
8.477,159,50,45.27,14.22
8.559,159,50,45.27,14.22
8.669,159,50,45.27,14.22
8.776,159,50,45.26,14.22
8.878,160,50,45.54,14.22
8.969,160,50,45.54,14.22
9.073,159,50,45.26,14.22
9.184,159,50,45.27,14.22
9.259,159,50,45.27,14.23
9.37,159,50,45.28,14.23
9.453,159,50,45.28,14.23
9.527,160,50,45.57,14.23
9.606,159,50,45.29,14.23
9.695,159,50,45.3,14.23
9.776,159,50,45.31,14.23
9.874,160,50,45.6,14.23
9.967,160,50,45.6,14.23
10.072,160,50,45.61,14.23
10.144,160,50,45.61,14.23
10.227,159,50,45.33,14.22
10.315,159,50,45.33,14.22
10.409,159,51,45.33,14.51
10.539,159,51,45.33,14.51
10.631,160,50,45.62,14.22
10.743,160,50,45.62,14.22
10.891,159,50,45.34,14.22
10.972,159,50,45.34,14.22
11.088,159,50,45.35,14.22
11.195,159,50,45.35,14.22
11.28,159,50,45.35,14.22
11.381,159,50,45.35,14.21
11.466,159,50,45.36,14.21
11.574,160,50,45.65,14.21
11.682,160,50,45.65,14.21
11.764,160,50,45.66,14.21
11.886,159,50,45.37,14.22
11.977,160,50,45.67,14.22
12.07,160,50,45.68,14.22
12.156,160,50,45.7,14.23
12.281,159,50,45.42,14.23
12.389,159,50,45.42,14.23
12.467,159,50,45.43,14.24
12.577,159,50,45.43,14.24
12.684,159,50,45.43,14.23
12.773,159,50,45.42,14.23
12.872,159,50,45.41,14.23
12.984,160,50,45.69,14.23
13.064,159,50,45.41,14.23
13.159,159,50,45.41,14.23
13.239,159,50,45.41,14.23
13.345,160,50,45.69,14.23
13.46,159,50,45.41,14.23
13.541,160,50,45.7,14.23
13.644,160,50,45.7,14.23
13.756,160,50,45.7,14.23
13.868,159,50,45.42,14.24
13.989,159,50,45.42,14.24
14.067,159,50,45.42,14.24
14.211,159,50,45.42,14.24
14.302,160,50,45.71,14.24
14.412,160,50,45.72,14.24
14.546,159,50,45.44,14.24
14.642,159,50,45.44,14.24
14.759,159,50,45.44,14.24
14.867,159,50,45.44,14.24
14.993,160,50,45.73,14.24
15.116,160,50,45.73,14.25
15.207,159,50,45.44,14.24
