t_s,wx,wy,x_cm,y_cm
0.076,464,52,134.69,15.05
0.181,456,51,132.36,14.76
0.27,447,50,129.73,14.47
0.375,438,49,127.12,14.18
0.471,428,48,124.22,13.89
0.575,419,48,121.61,13.89
0.672,412,47,119.58,13.6
0.774,399,47,115.81,13.6
0.87,389,47,112.91,13.6
0.957,383,47,111.18,13.6
1.037,373,48,108.28,13.89
1.14,363,48,105.38,13.89
1.239,353,49,102.48,14.18
1.348,347,50,100.76,14.47
1.441,340,52,98.74,15.05
1.675,325,50,94.4,14.46
1.872,305,49,88.61,14.17
2.106,283,48,82.23,13.88
2.211,273,48,79.33,13.88
2.355,264,49,76.72,14.17
2.441,256,50,74.39,14.46
2.542,248,50,72.06,14.45
2.669,240,49,69.73,14.16
2.776,229,48,66.53,13.87
2.877,220,48,63.91,13.87
3.026,211,48,61.29,13.87
3.106,198,49,57.51,14.16
3.208,188,49,54.61,14.16
3.357,181,51,52.57,14.74
3.441,171,50,49.66,14.45
3.55,162,50,47.05,14.44
3.672,154,49,44.72,14.16
3.776,141,49,40.95,14.16
3.875,132,49,38.34,14.16
