t_s,wx,wy,x_cm,y_cm
0.068,499,49,141.52,13.88
0.167,499,49,141.52,13.88
0.254,499,49,141.52,13.88
0.333,499,49,141.52,13.88
0.445,499,49,141.52,13.88
0.581,499,49,141.52,13.88
0.663,499,49,141.52,13.88
0.74,499,49,141.52,13.88
0.816,499,49,141.52,13.88
0.901,500,49,141.8,13.88
0.986,499,49,141.52,13.88
1.064,499,49,141.52,13.88
1.168,499,49,141.52,13.87
1.28,499,49,141.53,13.87
1.362,499,49,141.53,13.87
1.467,499,49,141.53,13.87
1.577,499,49,141.53,13.87
1.66,499,49,141.53,13.87
1.744,499,49,141.54,13.87
1.824,499,49,141.55,13.86
1.896,499,49,141.56,13.86
1.993,499,49,141.57,13.86
2.11,499,49,141.58,13.85
2.239,499,49,141.59,13.85
2.34,499,49,141.6,13.85
2.432,499,49,141.61,13.85
2.569,499,49,141.6,13.85
2.66,499,49,141.6,13.86
2.761,499,49,141.6,13.86
2.906,499,49,141.6,13.86
3.004,499,49,141.6,13.85
3.113,500,49,141.88,13.85
3.232,500,49,141.88,13.85
3.343,500,49,141.88,13.85
3.435,500,49,141.88,13.85
3.575,500,49,141.88,13.85
3.666,499,49,141.6,13.85
3.767,500,49,141.88,13.85
3.911,499,49,141.6,13.85
4.008,500,49,141.89,13.85
4.116,500,49,141.89,13.85
4.237,500,49,141.89,13.85
4.346,499,49,141.61,13.85
4.432,499,49,141.6,13.85
4.584,499,49,141.6,13.85
4.666,500,49,141.88,13.85
4.776,499,49,141.59,13.85
4.908,499,49,141.58,13.85
5.014,499,49,141.55,13.85
5.098,500,49,141.8,13.85
5.187,500,49,141.77,13.85
5.264,500,49,141.75,13.85
5.368,499,49,141.45,13.85
5.481,499,49,141.44,13.85
5.563,499,49,141.43,13.85
5.643,499,49,141.42,13.85
5.709,500,49,141.69,13.85
5.794,500,49,141.69,13.85
5.889,499,49,141.4,13.85
5.962,499,49,141.41,13.85
6.032,500,49,141.7,13.85
6.133,500,49,141.71,13.85
6.23,500,49,141.72,13.85
6.307,499,49,141.44,13.85
6.394,498,49,141.14,13.85
6.475,498,48,141.07,13.56
