t_s,wx,wy,x_cm,y_cm
0.35,486,51,147.01,15.43
0.447,486,51,147.01,15.43
0.532,486,51,147.01,15.43
0.615,486,51,147.01,15.43
0.699,486,51,147.01,15.43
0.782,486,51,147.01,15.43
0.867,486,51,147.01,15.43
0.95,486,51,147.01,15.43
1.208,486,51,147.01,15.43
1.292,486,51,147.01,15.43
1.374,486,51,147.01,15.43
1.459,486,51,147.01,15.43
1.54,486,51,147.01,15.43
1.627,486,51,147.01,15.43
1.709,486,51,147.01,15.43
1.799,486,51,147.01,15.43
1.879,486,51,147.01,15.43
1.959,486,51,147.01,15.43
2.039,486,51,147.01,15.43
2.117,486,51,147.01,15.43
2.198,486,51,147.01,15.43
2.281,486,51,147.01,15.43
2.362,486,51,147.01,15.43
2.449,486,51,147.01,15.43
2.528,486,51,147.01,15.43
2.608,486,51,147.01,15.43
2.687,486,51,147.01,15.43
2.764,486,51,147.01,15.43
2.842,486,51,147.01,15.43
2.92,486,51,147.01,15.43
2.996,486,51,147.01,15.43
3.079,486,51,147.01,15.43
3.152,486,51,147.01,15.43
3.226,486,51,147.01,15.43
3.301,486,51,147.01,15.43
3.674,486,51,147.01,15.43
3.749,486,51,147.01,15.43
3.823,486,51,147.01,15.43
3.897,486,51,147.01,15.43
3.972,486,51,147.01,15.43
4.047,486,52,147.01,15.73
4.121,485,52,146.71,15.73
4.197,485,51,146.71,15.43
4.277,484,51,146.41,15.43
4.349,482,51,145.81,15.43
4.423,477,51,144.29,15.43
4.497,474,52,143.38,15.73
4.571,471,52,142.48,15.73
4.646,467,52,141.27,15.73
4.721,463,52,140.06,15.73
4.796,461,52,139.45,15.73
4.95,455,51,137.64,15.43
5.025,450,51,136.12,15.43
5.1,447,51,135.22,15.43
5.177,445,51,134.61,15.43
5.253,440,51,133.1,15.43
5.329,438,50,132.5,15.12
5.406,435,51,131.59,15.43
5.493,432,51,130.68,15.43
5.569,428,51,129.47,15.43
5.646,426,51,128.87,15.43
5.723,421,51,127.35,15.43
5.799,417,51,126.14,15.43
5.876,414,51,125.23,15.43
5.955,412,51,124.63,15.43
6.032,407,51,123.12,15.43
6.113,404,52,122.21,15.73
6.191,401,51,121.3,15.43
6.268,396,52,119.79,15.73
6.346,393,52,118.88,15.73
6.424,390,52,117.97,15.73
6.501,387,52,117.07,15.73
6.578,382,52,115.55,15.73
6.818,372,51,112.53,15.43
6.895,370,51,111.92,15.43
6.973,367,51,111.02,15.43
7.205,353,50,106.78,15.12
7.284,352,49,106.48,14.82
7.371,347,49,104.97,14.82
7.446,342,48,103.45,14.52
7.525,339,48,102.55,14.52
7.682,333,48,100.73,14.52
7.76,328,46,99.22,13.91
7.838,325,47,98.31,14.22
7.915,321,46,97.1,13.91
8.001,318,46,96.19,13.91
8.076,313,46,94.68,13.91
8.152,308,47,93.17,14.22
8.23,304,46,91.96,13.91
8.307,303,46,91.66,13.91
8.384,297,46,89.84,13.91
8.461,291,46,88.03,13.91
8.706,278,46,84.09,13.91
8.784,273,46,82.58,13.91
8.861,267,46,80.77,13.91
8.94,265,46,80.16,13.91
9.098,254,46,76.83,13.91
9.178,251,46,75.93,13.91
9.267,247,46,74.72,13.91
9.343,242,46,73.2,13.91
9.421,237,45,71.69,13.61
9.501,235,45,71.09,13.61
9.577,230,45,69.58,13.61
9.654,225,45,68.06,13.61
9.731,221,45,66.85,13.61
9.808,217,45,65.64,13.61
9.895,213,45,64.43,13.61
9.972,211,45,63.83,13.61
10.05,205,45,62.01,13.61
10.129,201,44,60.8,13.31
10.207,198,45,59.89,13.61
10.286,194,45,58.68,13.61
10.365,191,45,57.78,13.61
10.443,187,45,56.57,13.61
10.528,183,45,55.36,13.61
10.605,181,45,54.75,13.61
10.687,180,45,54.45,13.61
10.841,178,45,53.84,13.61
10.921,176,45,53.24,13.61
10.999,174,45,52.63,13.61
11.079,174,44,52.63,13.31
11.168,173,44,52.33,13.31
11.244,174,44,52.63,13.31
11.324,174,44,52.63,13.31
11.404,174,44,52.63,13.31
11.558,174,44,52.63,13.31
11.636,174,44,52.63,13.31
11.713,174,44,52.63,13.31
11.795,174,44,52.63,13.31
11.875,174,44,52.63,13.31
11.951,173,44,52.33,13.31
12.028,174,44,52.63,13.31
12.104,174,44,52.63,13.31
12.18,174,44,52.63,13.31
12.258,174,44,52.63,13.31
12.499,174,44,52.63,13.31
12.577,174,44,52.63,13.31
12.656,174,44,52.63,13.31
12.894,174,44,52.63,13.31
12.973,174,44,52.63,13.31
13.059,174,44,52.63,13.31
13.138,174,44,52.63,13.31
13.219,174,44,52.63,13.31
13.3,174,44,52.63,13.31
13.382,174,44,52.63,13.31
13.463,174,44,52.63,13.31
13.545,174,44,52.63,13.31
13.627,174,44,52.63,13.31
13.797,174,44,52.63,13.31
13.878,174,44,52.63,13.31
13.961,174,44,52.63,13.31
14.207,174,44,52.63,13.31
14.29,174,44,52.63,13.31
14.382,174,44,52.63,13.31
14.462,174,44,52.63,13.31
14.546,174,44,52.63,13.31
14.63,174,44,52.63,13.31
14.711,174,44,52.63,13.31
14.793,174,44,52.63,13.31
14.875,174,44,52.63,13.31
14.96,174,44,52.63,13.31
15.379,174,44,52.63,13.31
15.462,174,44,52.63,13.31
15.628,174,44,52.63,13.31
15.717,174,44,52.63,13.31
15.796,174,44,52.63,13.31
15.879,174,44,52.63,13.31
15.962,174,44,52.63,13.31
16.044,174,44,52.63,13.31
16.126,174,44,52.63,13.31
16.208,174,44,52.63,13.31
16.29,174,44,52.63,13.31
16.382,174,44,52.63,13.31
16.464,174,44,52.63,13.31
16.547,174,44,52.63,13.31
