t_s,wx,wy,x_cm,y_cm
0.129,500,50,143.13,14.19
0.221,500,50,143.13,14.19
0.335,500,50,143.12,14.19
0.446,500,50,143.11,14.19
0.575,500,50,143.1,14.19
0.694,500,50,143.09,14.19
0.788,500,50,143.08,14.19
0.88,500,50,143.08,14.19
0.993,500,50,143.07,14.19
1.126,500,50,143.07,14.19
1.223,500,50,143.08,14.19
1.337,500,50,143.09,14.19
1.443,500,50,143.1,14.19
1.519,500,50,143.11,14.19
1.632,500,50,143.12,14.19
1.72,500,50,143.14,14.19
1.796,500,50,143.16,14.19
1.881,500,50,143.19,14.19
1.999,500,50,143.23,14.19
2.128,500,50,143.26,14.19
2.224,500,50,143.29,14.19
2.332,500,50,143.32,14.19
2.444,500,50,143.34,14.19
2.525,500,50,143.37,14.19
2.632,500,50,143.39,14.19
2.716,500,50,143.4,14.19
2.82,500,50,143.4,14.19
2.932,500,50,143.39,14.19
3.012,500,50,143.38,14.19
3.11,500,50,143.36,14.19
3.228,500,50,143.32,14.19
3.321,500,50,143.28,14.19
3.398,500,50,143.23,14.19
3.478,500,50,143.21,14.18
3.584,500,50,143.19,14.18
3.695,500,50,143.19,14.18
3.781,500,50,143.17,14.18
3.883,500,50,143.15,14.17
4.005,500,50,143.12,14.17
4.111,500,50,143.09,14.17
4.229,500,50,143.05,14.17
4.312,500,50,143.01,14.17
4.452,499,50,142.69,14.17
4.521,499,50,142.66,14.17
4.614,499,50,142.63,14.17
4.698,499,50,142.61,14.17
4.784,499,50,142.58,14.17
4.885,498,51,142.26,14.45
5.006,496,51,141.66,14.45
5.114,494,52,141.06,14.73
5.232,490,51,139.89,14.45
5.314,488,51,139.3,14.45
5.453,486,51,138.7,14.45
5.528,484,51,138.09,14.45
5.612,482,51,137.48,14.45
5.718,480,50,136.87,14.16
5.828,479,50,136.54,14.17
5.914,477,50,135.94,14.17
6.0,475,50,135.34,14.17
6.313,469,50,133.59,14.17
6.456,466,49,132.72,13.89
6.914,457,49,130.14,13.88
6.985,456,49,129.84,13.88
11.27,392,46,111.45,13.03
11.352,390,46,110.89,13.03
14.141,334,45,94.95,12.75
14.234,332,45,94.38,12.75
14.34,330,45,93.8,12.75
14.451,328,45,93.23,12.75
14.725,322,45,91.53,12.75
18.122,267,44,75.95,12.47
18.669,258,44,73.33,12.48
18.805,256,44,72.76,12.48
18.902,254,44,72.19,12.48
19.017,252,44,71.62,12.48
19.5,245,45,69.63,12.76
19.613,244,45,69.35,12.76
19.695,242,44,68.78,12.47
19.802,241,45,68.5,12.76
19.912,239,45,67.93,12.76
19.995,239,45,67.93,12.76
20.078,239,45,67.93,12.76
20.162,239,45,67.92,12.76
20.268,238,45,67.63,12.75
20.379,237,45,67.34,12.75
20.464,236,45,67.05,12.75
20.624,231,45,65.61,12.75
20.742,229,45,65.04,12.75
20.846,227,45,64.48,12.75
20.928,224,45,63.62,12.75
21.034,222,45,63.06,12.75
21.128,221,45,62.78,12.75
21.211,219,45,62.21,12.75
21.467,213,45,60.51,12.75
21.562,211,46,59.95,13.03
21.683,209,46,59.39,13.03
22.23,198,46,56.32,13.05
22.476,194,46,55.18,13.05
22.571,192,46,54.61,13.05
22.687,191,46,54.32,13.06
22.791,189,46,53.75,13.06
22.87,188,46,53.46,13.06
22.981,186,46,52.89,13.06
23.065,185,46,52.61,13.05
23.146,183,46,52.04,13.05
23.23,182,47,51.77,13.34
23.34,180,47,51.23,13.35
23.485,178,47,50.69,13.35
23.572,176,47,50.14,13.35
23.682,174,47,49.59,13.35
23.79,173,46,49.32,13.07
23.871,172,46,49.04,13.07
