t_s,wx,wy,x_cm,y_cm
0.114,501,47,143.38,13.37
0.264,500,47,143.13,13.37
0.342,500,47,143.14,13.37
0.42,500,47,143.14,13.37
0.534,500,47,143.13,13.37
0.615,500,47,143.11,13.37
0.7,500,47,143.09,13.36
0.786,500,47,143.08,13.36
0.879,500,48,143.06,13.65
0.966,500,47,143.04,13.36
1.063,500,47,143.02,13.36
1.181,501,47,143.29,13.36
1.268,500,48,142.98,13.64
1.361,500,47,142.96,13.36
1.477,500,48,142.94,13.64
1.583,500,47,142.92,13.35
1.652,500,48,142.92,13.63
1.73,501,47,143.21,13.35
1.825,501,47,143.22,13.35
1.915,501,47,143.23,13.35
1.999,501,47,143.24,13.35
2.081,501,47,143.25,13.35
2.174,501,47,143.27,13.35
2.255,501,48,143.31,13.63
2.359,501,47,143.33,13.35
2.473,501,47,143.34,13.35
2.583,501,47,143.35,13.35
2.655,501,47,143.36,13.35
2.773,501,47,143.37,13.36
2.847,501,47,143.38,13.36
2.938,501,47,143.38,13.36
3.018,501,47,143.39,13.36
3.132,501,47,143.4,13.37
3.26,501,47,143.4,13.37
3.365,501,47,143.44,13.37
3.475,501,47,143.51,13.38
3.585,501,48,143.58,13.67
3.661,501,46,143.65,13.11
3.777,501,47,143.71,13.4
4.082,501,48,143.84,13.7
4.365,500,48,143.49,13.7
4.479,500,48,143.45,13.7
4.59,500,48,143.41,13.7
4.663,500,48,143.37,13.7
4.778,500,48,143.33,13.69
4.854,500,48,143.29,13.69
4.927,499,48,142.96,13.69
5.01,499,48,142.94,13.69
5.089,493,48,141.2,13.69
5.201,481,49,137.74,13.97
6.027,315,55,89.97,15.67
6.613,206,48,58.77,13.67
6.687,189,48,53.91,13.67
6.798,174,47,49.62,13.39
6.935,163,47,46.48,13.39
7.034,159,48,45.34,13.67
7.143,160,47,45.62,13.38
7.249,160,47,45.61,13.38
7.332,160,47,45.61,13.38
7.52,160,48,45.62,13.67
7.594,160,48,45.62,13.67
7.676,160,48,45.62,13.67
7.762,159,47,45.35,13.38
7.858,160,48,45.64,13.67
7.929,159,47,45.36,13.38
8.029,159,47,45.36,13.38
8.098,159,47,45.36,13.38
8.209,159,47,45.37,13.38
8.291,159,47,45.37,13.38
8.38,159,47,45.37,13.38
8.468,159,47,45.37,13.38
8.604,159,47,45.37,13.38
8.677,159,47,45.38,13.38
8.755,159,47,45.38,13.38
8.982,159,47,45.38,13.38
9.056,159,47,45.38,13.38
9.166,159,47,45.38,13.37
9.262,159,47,45.38,13.37
9.331,159,47,45.38,13.37
9.45,159,48,45.38,13.65
9.526,159,48,45.38,13.65
9.608,159,48,45.38,13.65
9.763,159,47,45.38,13.36
9.874,158,48,45.1,13.65
9.989,159,47,45.4,13.36
10.111,159,47,45.42,13.37
10.224,159,47,45.43,13.37
10.346,159,47,45.44,13.37
10.427,159,47,45.45,13.37
10.516,159,47,45.46,13.37
10.625,158,47,45.18,13.37
10.703,159,47,45.46,13.37
10.819,159,47,45.46,13.37
10.931,159,47,45.46,13.37
11.054,159,47,45.46,13.37
11.131,160,47,45.75,13.37
11.274,159,47,45.47,13.37
11.365,159,47,45.47,13.37
11.476,159,47,45.46,13.36
11.736,159,47,45.46,13.36
11.816,159,47,45.46,13.36
11.929,159,47,45.46,13.36
12.007,159,47,45.47,13.36
12.121,158,47,45.18,13.36
12.2,159,47,45.46,13.36
12.292,159,47,45.46,13.36
12.418,159,47,45.45,13.36
12.504,159,47,45.45,13.36
12.634,158,47,45.17,13.36
12.709,158,47,45.2,13.36
12.825,158,47,45.21,13.37
12.931,158,47,45.23,13.37
