t_s,wx,wy,x_cm,y_cm
0.096,485,46,142.01,13.3
0.195,481,46,140.84,13.3
0.295,472,46,138.21,13.3
0.392,465,47,136.17,13.59
0.53,458,48,134.13,13.88
0.625,452,51,132.38,14.75
0.729,447,51,130.92,14.75
0.875,441,51,129.16,14.75
0.961,432,51,126.53,14.75
1.065,425,51,124.49,14.76
1.201,419,51,122.74,14.76
1.296,410,51,120.11,14.76
1.394,404,51,118.36,14.76
1.528,399,52,116.89,15.05
1.629,392,52,114.85,15.05
1.735,386,51,113.09,14.76
1.866,381,50,111.63,14.47
1.962,373,50,109.29,14.47
2.07,367,50,107.53,14.48
2.2,361,49,105.77,14.19
2.294,352,49,103.13,14.18
2.393,347,49,101.67,14.18
2.528,340,49,99.62,14.18
2.63,332,49,97.28,14.18
2.731,325,49,95.23,14.18
2.868,319,49,93.48,14.18
3.063,302,49,88.5,14.18
3.198,296,49,86.73,14.18
3.297,288,50,84.38,14.47
3.395,283,50,82.9,14.47
3.523,277,50,81.14,14.46
3.593,272,50,79.66,14.46
3.696,266,49,77.89,14.17
3.798,260,49,76.13,14.17
3.897,254,49,74.36,14.17
3.996,247,49,72.31,14.17
4.091,241,48,70.55,13.89
4.196,237,48,69.39,13.89
4.299,229,48,67.05,13.89
4.396,223,49,65.3,14.18
4.533,216,49,63.26,14.18
4.631,210,50,61.51,14.47
4.735,204,50,59.76,14.47
4.868,199,50,58.29,14.48
4.975,191,50,55.95,14.48
5.066,185,50,54.19,14.48
5.198,179,50,52.43,14.48
5.297,170,49,49.79,14.19
5.398,164,49,48.04,14.19
5.535,158,50,46.28,14.48
5.63,149,50,43.64,14.48
5.733,141,50,41.3,14.48
5.861,136,51,39.84,14.77
