t_s,wx,wy,x_cm,y_cm
0.066,478,46,140.25,13.28
0.169,472,46,138.48,13.28
0.259,465,46,136.43,13.28
0.408,458,47,134.37,13.57
0.491,448,48,131.42,13.86
0.594,440,48,129.06,13.86
0.727,433,49,127.0,14.15
0.831,424,50,124.35,14.44
0.93,418,50,122.59,14.44
1.068,411,51,120.53,14.73
1.164,404,52,118.47,15.02
1.263,398,51,116.7,14.73
1.408,392,51,114.93,14.73
1.493,384,51,112.58,14.72
1.597,378,51,110.82,14.72
1.727,372,51,109.06,14.72
1.835,363,51,106.41,14.72
1.936,356,50,104.34,14.43
2.051,351,51,102.87,14.72
2.128,347,52,101.69,15.01
2.231,342,51,100.22,14.72
2.329,336,51,98.45,14.72
2.4,335,51,98.16,14.72
2.496,327,50,95.81,14.43
2.6,321,50,94.06,14.44
2.835,307,49,89.96,14.15
3.061,296,50,86.74,14.44
3.163,290,50,84.98,14.44
3.417,280,50,82.04,14.45
3.495,273,50,79.98,14.45
3.605,267,49,78.22,14.16
3.728,261,49,76.46,14.16
3.833,253,49,74.12,14.16
3.933,247,49,72.36,14.16
4.065,241,49,70.6,14.16
4.165,233,49,68.26,14.16
4.266,227,49,66.5,14.16
4.419,220,49,64.45,14.16
4.507,214,50,62.69,14.45
4.599,209,49,61.23,14.16
4.84,197,49,57.72,14.16
4.934,190,50,55.67,14.45
5.065,185,50,54.21,14.45
5.166,178,50,52.16,14.45
5.267,172,49,50.41,14.16
5.404,165,49,48.36,14.16
5.501,159,50,46.6,14.45
5.602,154,50,45.14,14.44
5.727,148,50,43.38,14.44
5.803,143,50,41.91,14.44
