t_s,wx,wy,x_cm,y_cm
0.075,500,51,142.55,14.4
0.177,500,51,142.57,14.4
0.282,500,51,142.59,14.4
0.366,500,51,142.6,14.4
0.445,500,51,142.63,14.4
0.567,500,51,142.65,14.4
0.666,500,51,142.68,14.4
0.747,500,51,142.72,14.4
0.834,500,51,142.75,14.4
0.942,500,51,142.79,14.4
1.051,500,51,142.82,14.41
1.134,500,51,142.86,14.41
1.23,500,51,142.9,14.41
1.346,500,51,142.97,14.41
1.43,500,51,143.02,14.42
1.519,499,51,142.79,14.42
1.597,500,51,143.1,14.42
1.703,500,51,143.13,14.43
1.817,500,51,143.15,14.43
1.898,500,51,143.17,14.43
2.002,500,51,143.2,14.43
2.117,500,51,143.22,14.43
2.229,500,51,143.24,14.43
2.348,500,51,143.25,14.43
2.43,499,51,142.96,14.43
2.573,499,51,142.97,14.43
2.665,500,51,143.26,14.43
2.768,500,51,143.25,14.43
2.909,500,51,143.24,14.43
3.002,500,51,143.23,14.43
3.117,499,51,142.92,14.43
3.221,500,51,143.18,14.43
3.297,500,51,143.15,14.43
3.413,500,51,143.1,14.43
3.494,500,51,143.06,14.42
3.568,500,51,143.02,14.42
3.64,500,51,142.97,14.42
3.726,500,51,142.93,14.42
3.832,500,51,142.9,14.42
4.025,500,51,142.84,14.42
4.297,498,51,142.21,14.43
4.416,497,51,141.91,14.43
4.639,490,52,139.83,14.72
6.169,390,51,110.89,14.45
6.663,357,50,101.41,14.16
6.773,351,50,99.69,14.16
6.961,338,51,95.97,14.44
7.228,323,51,91.67,14.44
7.78,279,51,79.17,14.44
9.316,177,50,50.26,14.17
9.805,159,49,45.15,13.88
9.972,159,49,45.14,13.88
10.163,159,50,45.13,14.15
10.237,159,50,45.13,14.15
10.336,158,50,44.85,14.15
10.447,158,50,44.85,14.15
10.57,158,50,44.86,14.14
10.684,158,50,44.87,14.14
10.765,159,50,45.16,14.14
10.905,159,50,45.18,14.14
10.979,159,50,45.19,14.14
11.069,159,49,45.2,13.86
11.148,159,50,45.22,14.14
11.243,158,50,44.94,14.14
11.343,158,50,44.95,14.14
11.454,159,50,45.25,14.14
11.58,158,50,44.96,14.14
11.69,158,50,44.96,14.14
11.777,158,50,44.96,14.14
11.914,159,50,45.26,14.14
12.009,159,49,45.26,13.86
12.115,159,49,45.27,13.86
12.253,159,50,45.28,14.14
12.349,159,49,45.29,13.86
12.454,158,50,45.01,14.15
12.589,158,50,45.02,14.15
12.693,158,50,45.03,14.15
12.778,158,50,45.04,14.15
12.919,158,50,45.05,14.15
13.011,158,50,45.05,14.15
13.124,159,50,45.34,14.16
13.258,158,50,45.07,14.16
13.355,158,50,45.08,14.16
13.444,158,50,45.09,14.16
13.531,158,50,45.1,14.16
13.611,158,50,45.1,14.16
13.717,159,50,45.39,14.16
13.834,158,50,45.1,14.16
13.923,158,50,45.1,14.16
14.013,158,50,45.1,14.16
14.129,158,50,45.1,14.16
14.246,158,50,45.09,14.16
14.361,158,50,45.09,14.16
14.444,158,50,45.08,14.16
14.531,159,50,45.36,14.16
14.611,159,50,45.36,14.16
14.721,159,50,45.37,14.16
14.834,159,50,45.38,14.17
14.915,159,49,45.38,13.88
15.019,160,49,45.67,13.89
15.134,159,49,45.39,13.89
15.245,158,50,45.1,14.17
15.363,159,49,45.39,13.89
15.446,159,49,45.38,13.89
15.599,158,50,45.09,14.18
