t_s,wx,wy,x_cm,y_cm
0.075,500,49,142.42,13.88
0.188,500,49,142.45,13.88
0.341,500,49,142.48,13.88
0.432,500,49,142.52,13.88
0.541,500,49,142.56,13.88
0.679,500,49,142.6,13.88
0.77,500,49,142.64,13.88
0.882,500,49,142.68,13.88
0.997,500,49,142.72,13.88
1.104,500,49,142.76,13.88
1.199,500,49,142.79,13.88
1.339,500,49,142.83,13.88
1.43,500,49,142.85,13.89
1.548,500,49,142.87,13.88
1.675,500,49,142.88,13.88
1.769,500,49,142.89,13.88
1.859,500,49,142.9,13.88
1.95,500,49,142.91,13.88
2.024,500,49,142.92,13.88
2.133,500,49,142.92,13.88
2.248,500,49,142.92,13.89
2.331,500,49,142.96,13.89
2.434,500,49,143.04,13.9
2.547,500,49,143.11,13.91
2.661,500,49,143.15,13.91
2.779,500,49,143.18,13.92
2.863,500,49,143.23,13.92
2.947,500,49,143.26,13.93
3.032,500,49,143.28,13.93
3.138,500,49,143.28,13.94
3.251,500,49,143.26,13.94
3.334,500,49,143.23,13.94
3.435,500,49,143.2,13.94
3.549,500,49,143.16,13.94
3.667,500,49,143.12,13.94
3.779,500,49,143.09,13.94
3.86,500,49,143.05,13.94
3.992,500,49,143.01,13.94
4.072,500,49,142.97,13.93
4.159,501,49,143.22,13.93
4.547,500,49,142.94,13.93
4.658,500,50,142.93,14.22
4.728,499,49,142.62,13.93
4.849,499,49,142.6,13.93
4.927,499,49,142.57,13.93
5.031,499,50,142.55,14.21
5.439,481,50,137.28,14.2
5.544,475,50,135.54,14.19
5.674,469,50,133.8,14.19
5.758,460,51,131.21,14.47
6.995,378,51,107.54,14.44
7.207,364,51,103.52,14.44
7.319,358,51,101.8,14.43
7.394,351,51,99.8,14.43
8.213,292,51,82.96,14.43
8.398,277,50,78.69,14.15
8.523,269,50,76.41,14.15
8.824,245,51,69.58,14.44
8.895,239,51,67.87,14.44
9.003,235,51,66.73,14.44
9.215,217,51,61.62,14.44
10.346,160,49,45.4,13.87
10.433,161,49,45.69,13.87
10.522,161,49,45.69,13.87
10.599,161,49,45.69,13.87
10.668,160,49,45.42,13.87
10.75,160,49,45.43,13.87
10.837,160,49,45.44,13.87
10.939,160,49,45.45,13.88
11.056,160,49,45.46,13.88
11.134,160,49,45.47,13.88
11.239,159,49,45.2,13.88
11.331,159,49,45.21,13.88
11.409,159,49,45.21,13.88
11.499,160,49,45.49,13.87
11.584,160,49,45.5,13.87
11.674,159,49,45.22,13.87
11.776,159,49,45.22,13.87
11.884,160,49,45.51,13.87
11.996,160,49,45.51,13.86
12.07,160,49,45.52,13.86
12.185,160,49,45.52,13.86
12.271,160,49,45.53,13.86
12.365,159,49,45.26,13.86
12.481,160,49,45.55,13.86
12.592,160,49,45.56,13.86
12.681,160,49,45.57,13.86
12.782,160,49,45.6,13.87
12.892,160,49,45.63,13.87
13.008,160,49,45.66,13.88
13.125,159,49,45.39,13.89
13.222,160,49,45.71,13.89
13.351,160,49,45.73,13.9
13.443,160,49,45.75,13.9
13.55,160,49,45.77,13.91
13.691,160,49,45.78,13.91
13.783,160,49,45.78,13.91
13.892,160,49,45.78,13.92
14.006,160,49,45.78,13.92
14.097,160,49,45.78,13.92
14.187,160,49,45.78,13.92
14.279,159,49,45.5,13.92
14.382,160,49,45.79,13.92
14.494,160,49,45.8,13.92
14.578,160,49,45.8,13.92
14.691,160,49,45.8,13.93
14.79,160,49,45.81,13.93
14.886,160,49,45.81,13.93
15.009,160,49,45.81,13.93
15.111,160,49,45.81,13.93
15.191,160,49,45.8,13.93
15.278,160,49,45.8,13.93
15.384,161,49,46.09,13.93
15.496,160,49,45.8,13.92
15.579,160,49,45.79,13.92
15.683,160,49,45.79,13.92
15.798,160,49,45.79,13.92
