t_s,wx,wy,x_cm,y_cm
0.123,495,51,143.09,14.91
0.587,471,51,136.18,14.91
0.692,467,51,135.04,14.91
0.811,461,51,133.31,14.91
0.93,452,51,130.71,14.91
1.059,444,50,128.4,14.61
1.156,440,50,127.24,14.61
1.244,432,49,124.93,14.32
1.493,420,50,121.45,14.61
3.06,338,49,97.75,14.31
3.359,325,50,94.01,14.6
3.496,320,49,92.57,14.31
3.598,314,49,90.84,14.31
3.707,309,49,89.4,14.31
3.815,304,49,87.96,14.31
3.913,299,50,86.52,14.6
4.013,296,49,85.66,14.31
4.158,290,49,83.94,14.31
4.251,283,48,81.92,14.02
4.36,279,48,80.76,14.02
4.474,274,48,79.32,14.02
4.596,266,48,77.01,14.02
4.678,261,48,75.56,14.02
4.771,258,49,74.7,14.31
4.903,252,49,72.96,14.31
5.008,247,49,71.51,14.31
5.166,242,49,70.06,14.31
5.913,202,48,58.48,14.02
6.027,197,47,57.04,13.72
6.166,192,47,55.59,13.72
6.259,184,47,53.28,13.72
6.367,179,47,51.83,13.72
6.477,174,47,50.38,13.72
6.737,160,48,46.33,14.01
6.824,156,48,45.17,14.01
6.922,149,48,43.14,14.01
